@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
agricola_p01.pddl,1,blind,1800,timeout
agricola_p01.pddl,1,Complementary1,115.57,ok
agricola_p01.pddl,1,Complementary2,57.59,ok
agricola_p01.pddl,1,DecStar,1800,timeout
agricola_p01.pddl,1,Delfi1,19.31,ok
agricola_p01.pddl,1,Delfi2,473,ok
agricola_p01.pddl,1,FDMS1,96,ok
agricola_p01.pddl,1,FDMS2,113.2,ok
agricola_p01.pddl,1,Metis1,1800,timeout
agricola_p01.pddl,1,Metis2,1800,timeout
agricola_p01.pddl,1,Planning-PDBs,56.49,ok
agricola_p01.pddl,1,Scorpion,1800,timeout
agricola_p01.pddl,1,symbolic-bidirectional,18.78,ok
agricola_p01.pddl,1,Symple-1,1654.82,ok
agricola_p01.pddl,1,Symple-2,1608.91,ok
agricola_p02.pddl,1,blind,493.3,ok
agricola_p02.pddl,1,Complementary1,150.85,ok
agricola_p02.pddl,1,Complementary2,232.89,ok
agricola_p02.pddl,1,DecStar,1800,timeout
agricola_p02.pddl,1,Delfi1,34.97,ok
agricola_p02.pddl,1,Delfi2,62.94,ok
agricola_p02.pddl,1,FDMS1,90.62,ok
agricola_p02.pddl,1,FDMS2,314.84,ok
agricola_p02.pddl,1,Metis1,1800,timeout
agricola_p02.pddl,1,Metis2,1800,timeout
agricola_p02.pddl,1,Planning-PDBs,231.06,ok
agricola_p02.pddl,1,Scorpion,1800,timeout
agricola_p02.pddl,1,symbolic-bidirectional,77.74,ok
agricola_p02.pddl,1,Symple-1,1800,timeout
agricola_p02.pddl,1,Symple-2,1800,timeout
agricola_p03.pddl,1,blind,1800,timeout
agricola_p03.pddl,1,Complementary1,1114.13,ok
agricola_p03.pddl,1,Complementary2,1014.27,ok
agricola_p03.pddl,1,DecStar,1800,timeout
agricola_p03.pddl,1,Delfi1,80.12,ok
agricola_p03.pddl,1,Delfi2,131.18,ok
agricola_p03.pddl,1,FDMS1,126.03,ok
agricola_p03.pddl,1,FDMS2,421.81,ok
agricola_p03.pddl,1,Metis1,1800,timeout
agricola_p03.pddl,1,Metis2,1800,timeout
agricola_p03.pddl,1,Planning-PDBs,1800,timeout
agricola_p03.pddl,1,Scorpion,1447.82,ok
agricola_p03.pddl,1,symbolic-bidirectional,87.95,ok
agricola_p03.pddl,1,Symple-1,1800,timeout
agricola_p03.pddl,1,Symple-2,1800,timeout
