@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute ALL numeric

@data
11pipe_11_ooo.cnf,1,62.11
11pipe_k.cnf,1,67.47
12pipe_bug4_q0used-assat04-723.cnf,1,58.33
12pipe_bug6_q0used-assat04-725.cnf,1,54.35
1dlx_c_iq57_a.cnf,1,340.18
1dlx_c_iq60_a.cnf,1,432.9
2dlx_ca_bp_f_liveness.cnf,1,109.83
6pipe_6_oooshuffled-assat03-413.cnf,1,24.26
9dlx_vliw_at_b_iq6used-assat04-347.cnf,1,138.71
9dlx_vliw_at_b_iq7.cnf,1,247.89
9dlx_vliw_at_b_iq8used-assat04-718.cnf,1,253.17
9dlx_vliw_at_b_iq9used-assat04-719.cnf,1,432.16
9vliw_m_9stages_iq3_C1_bug5.cnf,1,612.73
9vliw_m_9stages_iq3_C1_bug6.cnf,1,613.6
aaai10-planning-ipc5-pathways-13-step17.cnf,1,3.4
aaai10-planning-ipc5-pathways-17-step20.cnf,1,8.96
aaai10-planning-ipc5-pathways-17-step21.cnf,1,10.06
aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,26.71
aaai10-planning-ipc5-pipesworld-12-step16.cnf,1,27.79
aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,49
aaai10-planning-ipc5-pipesworld-18-step16.cnf,1,54.11
aaai10-planning-ipc5-pipesworld-27-step13.cnf,1,205.87
aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,225.12
aaai10-planning-ipc5-rovers-18-step11.cnf,1,21.95
aaai10-planning-ipc5-rovers-18-step12.cnf,1,22.32
aaai10-planning-ipc5-TPP-21-step11.cnf,1,36.82
aaai10-planning-ipc5-TPP-30-step11.cnf,1,176.97
abb313GPIA-9-cused-assat04-317.cnf,1,21.9
abb313GPIA-9-trused-assat04-321.cnf,1,21.75
ACG-10-10p0.cnf,1,24.55
ACG-15-5p1.cnf,1,47.41
aes_128_1_keyfind_1.cnf,1,20.03
aes_128_10_keyfind_1.cnf,1,20.36
aes_128_2_keyfind_1.cnf,1,20.06
aes_128_3_keyfind_1.cnf,1,20.1
aes_32_1_keyfind_1.cnf,1,0.01
aes_32_2_keyfind_1.cnf,1,0.04
aes_32_3_keyfind_1.cnf,1,0.07
aes_32_4_keyfind_1.cnf,1,0.09
aes_32_5_keyfind_1.cnf,1,0.12
aes_64_1_keyfind_1.cnf,1,0.17
aes_64_2_keyfind_1.cnf,1,0.34
aes_64_3_keyfind_1.cnf,1,0.52
aes_64_4_keyfind_1.cnf,1,0.74
