"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"10tree1020p.wcnf",30.32,13.21,3600,35.54,24.27,37.46,31.52
"10tree115p.wcnf",6.69,3.88,3.7,13.7,11.53,11.15,3.47
"10tree125p.wcnf",51.18,19.45,34.08,57.86,22.88,49.63,118.1
"10tree315p.wcnf",15.65,4.96,6.97,14.91,0.01,11.27,8.09
"10tree320p.wcnf",10.61,3.75,6.71,17.93,7.7,10.62,1.94
"10tree425p.wcnf",44.37,22.02,20.95,41.59,27.97,41.98,56.89
"10tree430p.wcnf",24.76,6.73,36.01,78.56,15.24,29.54,4.24
"10tree730p.wcnf",108.4,66.67,78.48,136.54,62.8,89.08,410.48
"10tree825p.wcnf",10.42,3.57,14.61,33.15,17.16,15.16,2.48
"15tree101p.wcnf",2.96,3.98,2.64,14.5,22.5,37.66,5.12
"15tree201p.wcnf",2.71,3.49,3.19,15.9,22.52,88.28,5.16
"15tree301posib.wcnf",10.38,4.89,7.2,39.53,51.47,19.13,8.79
"15tree401posib.wcnf",9.15,4.34,5.82,3600,38.37,42.41,4.51
"15tree501p.wcnf",15.22,11.31,14.92,54.75,49.51,22.71,26.42
"15tree701p.wcnf",25.55,10.54,15.59,46.78,50.48,289.12,20.73
"1bpi_2knt_gwcnft.wcnf",3600,316.39,615.57,131.9,355.89,73.77,392.5
"1bpi_5pti_gwcnft.wcnf",3600,234.02,107.07,68.15,280.52,24.56,112.66
"1knt_1bpi_gwcnft.wcnf",3600,367.16,322.9,191.98,361.24,101.3,323.24
"1knt_2knt_gwcnft.wcnf",22.24,16.02,3.42,10.01,124.13,1.37,12.01
"1knt_5pti_gwcnft.wcnf",3600,261.37,69.56,91,269.93,52.2,91.06
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf",5.63,14.56,10.39,27.01,14.59,8.48,6
"2knt_5pti_gwcnft.wcnf",3600,342.88,128.51,100.12,262.07,60.5,131.5
