"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"10tree1020p.wcnf",30.22,13.5,16.36,36.06,24.17,36.48,31.19
"10tree115p.wcnf",6.66,3.86,3.68,13.58,11.7,11.33,3.5
"10tree125p.wcnf",50.7,19.4,33.87,57.92,23.13,48.14,119.23
"10tree315p.wcnf",15.55,4.92,6.9,14.72,11.39,11.24,8.06
"10tree320p.wcnf",10.58,3.74,6.7,17.78,7.68,10.62,1.94
"10tree425p.wcnf",44.3,21.88,20.7,41.81,27.74,40.6,56.37
"10tree430p.wcnf",24.66,6.7,35.71,79.67,15.09,29.53,4.21
"10tree730p.wcnf",107.24,66.33,77.82,135.43,63.4,88.28,387.11
"10tree825p.wcnf",10.35,3.6,14.78,32.73,17.35,15.33,2.48
"15tree101p.wcnf",2.93,3.84,2.45,13.87,21.59,36.66,5.04
"15tree201p.wcnf",2.68,3.43,3,15.06,22.03,80.31,4.92
"15tree301posib.wcnf",9.78,4.45,6.44,36.37,47.71,17.45,8.27
"15tree401posib.wcnf",8.82,3.99,5.06,36.14,36.32,37.46,4.17
"15tree501p.wcnf",17.07,10.12,13.33,48.98,45.4,21.43,24.9
"15tree701p.wcnf",22.89,9.44,13.74,40.78,46.09,251.3,18.95
"1bpi_2knt_gwcnft.wcnf",3600,289.51,566.19,128.91,366.72,71.81,373.18
"1bpi_5pti_gwcnft.wcnf",3600,217.21,105.22,66.81,268.69,23.98,107.78
"1knt_1bpi_gwcnft.wcnf",3600,350.75,316.2,188.64,346.29,98.53,309.09
"1knt_2knt_gwcnft.wcnf",19.18,13.39,3.35,9.86,121.24,1.37,11.16
"1knt_5pti_gwcnft.wcnf",3600,246.43,67.04,88.19,244.28,51.02,85.42
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf",5.58,14.66,10.3,26.61,14.56,8.35,5.99
"2knt_5pti_gwcnft.wcnf",3600,322.08,124.11,97.69,232.97,58.63,125.31
"3col140_5_10shuffledcnf.wcnf",24.19,6.25,13.09,25.87,38.78,3.02,10.29
"3col140_5_1shuffledcnf.wcnf",37.89,6.15,12.67,26.97,38.88,3.67,12.88
"3col140_5_2shuffledcnf.wcnf",55.33,3.54,13.35,30.29,33.09,2.66,11.15
"3col140_5_3shuffledcnf.wcnf",43.47,4.26,13.1,33.86,34.9,3.23,13.03
"3col140_5_4shuffledcnf.wcnf",33.51,7.21,13.45,26.29,36.09,2.58,9.69
"3col140_5_5shuffledcnf.wcnf",23.35,4.58,13.67,32.72,42.28,2.31,12.67
"3col140_5_6shuffledcnf.wcnf",64.16,6.35,16.13,34.47,47.05,3.23,11.57
"3col140_5_7shuffledcnf.wcnf",21.29,5.56,14.82,31.19,28.25,2.85,10.86
"3col140_5_8shuffledcnf.wcnf",64.88,6.33,13.46,25.81,33.71,3.02,10.87
"3col140_5_9shuffledcnf.wcnf",76.03,6.78,16.65,26.25,37.18,3.21,11.15
"3ebx_1era_gwcnft.wcnf",3600,625.89,529.53,354.14,340.84,100.68,369.67
"3ebx_6ebx_gwcnft.wcnf",172.64,37.95,50.27,26.12,119.09,8.15,18.52
"6ebx_1era_gwcnft.wcnf",3600,209.31,65.68,66.96,161.01,29.67,107.71
"7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf",38.79,4.27,3.67,11.83,12.17,7.15,5.93
"ac97_ctrl-debugdimacs.wcnf",9.71,0.59,0.28,0.33,3.12,10.48,0.55
"adult_train_1_DNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"adult_train_5_CNF_2_1.wcnf",3600,3600,3600,3600,2548.51,3600,3600
"adult_train_8_CNF_3_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"AES1-30-5.wcnf",2.39,0.69,15.19,25.5,25.4,216.91,1.23
"AES1-40-6.wcnf",2.4,0.9,20.31,30.24,31.6,3600,1.03
"AES1-40-7.wcnf",2.37,0.92,15.18,24.29,30.32,2050.01,1.05
"AES1-60-17.wcnf",3.32,0.96,16.24,28.57,38.32,3600,1.11
"AES1-70-24.wcnf",110.88,2.81,27.09,37.7,30.54,3600,2.72
"AES1-76-37.wcnf",170.21,76.11,293.74,184.83,144.46,3600,17.63
"AES2-50-52.wcnf",12.36,1.33,16.28,26.64,24.05,3600,1.22
"AES2-70-61.wcnf",526.25,8.4,19.97,30.04,39.3,3600,7.37
"AES2-72-67.wcnf",3600,3600,3600,2444.3,686.66,3600,3600
"AES2-74-11.wcnf",1933.68,11.2,38.73,43.52,137.18,3600,11.58
"AES2-74-73.wcnf",6.53,2.32,88.76,105.3,33.25,3600,2.87
"apt-cudf-universe0ea62c_l1.wcnf",2.83,0.07,0.07,0.09,0.14,3600,0.35
"atcoss_mesat_01.wcnf",53.44,41.45,138,248.04,120.56,43.19,43.14
"atcoss_mesat_03.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_04.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_05.wcnf",2066.8,3600,3600,3600,3264.92,3198.25,2810.63
"atcoss_mesat_06.wcnf",86.35,70.79,241.15,352.91,112.61,215.95,51.59
"atcoss_mesat_10.wcnf",1824.21,1091.65,3600,2005.75,576.93,1099.65,479.64
"atcoss_mesat_12.wcnf",7.56,6.18,34.47,65.3,32.64,40.06,7.27
"atcoss_mesat_18.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_01.wcnf",34.67,29.48,59.73,111.41,85.98,14.42,30.02
"atcoss_sugar_02.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_04.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_05.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_12.wcnf",189.36,16.66,45.71,147.25,109.4,27.53,16.47
"atcoss_sugar_15.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_18.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_19.wcnf",60.18,99.79,1684.64,80.26,55.42,1143.71,42.95
