"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"10tree1020p.wcnf",30.44,13.25,3600,36.16,24.18,37.37,31.41
"10tree115p.wcnf",6.66,3.88,3.66,13.63,11.71,11.05,3.5
"10tree125p.wcnf",50.81,19.58,33.98,57.75,23.37,48.43,120.46
"10tree315p.wcnf",15.62,5.05,6.92,14.84,11.42,11.23,8.05
"10tree320p.wcnf",10.56,3.76,6.7,17.91,7.69,10.62,1.94
"10tree425p.wcnf",44.21,22.29,20.76,41.47,27.85,40.89,56.93
"10tree430p.wcnf",24.74,6.7,35.72,79.76,15.16,30.3,4.25
"10tree730p.wcnf",107.22,66.9,78.32,136.47,64.15,88.66,398.11
"10tree825p.wcnf",10.41,3.73,14.9,33.14,17.34,15.35,2.5
"15tree101p.wcnf",3,3.87,2.59,14.39,22.08,37.57,5.2
"15tree201p.wcnf",2.75,3.44,3.21,15.5,22.72,84.85,5.04
"15tree301posib.wcnf",10.13,4.68,7.21,38.34,50.57,18.59,8.74
"15tree401posib.wcnf",9.16,4.2,5.68,38.22,38.15,39.91,4.34
"15tree501p.wcnf",12.48,10.84,14.55,52.19,47.82,22.5,26.36
"15tree701p.wcnf",24.77,9.87,14.98,43.68,0.07,285.93,20.3
"1bpi_2knt_gwcnft.wcnf",3600,311.88,586.59,132.17,364.75,72.62,391.78
"1bpi_5pti_gwcnft.wcnf",3600,227.81,107.13,67.62,303.39,24.88,113.1
"1knt_1bpi_gwcnft.wcnf",3600,364.4,323.41,190.96,346.7,100.74,319.35
"1knt_2knt_gwcnft.wcnf",21.34,15.57,3.41,9.99,124.34,1.38,12.42
"1knt_5pti_gwcnft.wcnf",3600,261.83,69,90.11,236.43,51.05,88.49
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf",5.53,14.25,10.1,26.2,14.37,8.39,6.02
"2knt_5pti_gwcnft.wcnf",3600,336.94,126.94,99,263.25,59.53,128.62
"3col140_5_10shuffledcnf.wcnf",24.22,6.26,13.11,25.99,38.88,3.07,10.32
"3col140_5_1shuffledcnf.wcnf",37.87,6.15,12.69,26.99,39.17,3.67,12.93
"3col140_5_2shuffledcnf.wcnf",55.39,3.55,13.37,30.46,33.27,2.68,11.16
"3col140_5_3shuffledcnf.wcnf",43.48,4.18,13.18,33.57,34.93,3.18,13.08
"3col140_5_4shuffledcnf.wcnf",33.54,7.1,13.51,26.42,36.28,2.53,9.73
"3col140_5_5shuffledcnf.wcnf",23.36,4.59,13.63,32.92,42.4,2.33,12.73
"3col140_5_6shuffledcnf.wcnf",55.94,6.38,16.23,34.73,0.13,3.23,11.58
"3col140_5_7shuffledcnf.wcnf",21.3,5.57,14.92,31.25,28.25,2.79,10.7
"3col140_5_8shuffledcnf.wcnf",56.99,6.37,13.5,25.32,33.69,2.96,10.89
"3col140_5_9shuffledcnf.wcnf",76.08,6.8,16.66,25.89,37.49,3.29,11.15
"3ebx_1era_gwcnft.wcnf",3600,663.14,558.9,357.52,317.35,105.61,383.52
"3ebx_6ebx_gwcnft.wcnf",180.81,40.21,50.15,25.86,109.7,8.18,19.51
"6ebx_1era_gwcnft.wcnf",3600,215.34,67.76,67.62,163.49,29.91,109.45
"7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf",29,4.28,3.6,11.62,11.99,7.18,5.84
"ac97_ctrl-debugdimacs.wcnf",9.94,0.61,0.28,0.35,3.29,11.17,0.58
"adult_train_1_DNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"adult_train_5_CNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"adult_train_8_CNF_3_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"AES1-30-5.wcnf",2.41,0.68,17.2,28.83,28.59,250.34,1.27
"AES1-40-6.wcnf",2.44,0.92,23.08,33.99,35.31,3600,1.03
"AES1-40-7.wcnf",2.37,0.95,16.86,26.86,33.33,2342.01,1.04
"AES1-60-17.wcnf",3.33,0.96,17.07,33.87,0.01,3600,1.13
"AES1-70-24.wcnf",113.04,2.88,29.57,41.37,32.84,3600,2.75
"AES1-76-37.wcnf",183.8,81.48,330.05,203.92,156.87,3600,18.62
"AES2-50-52.wcnf",12.1,1.37,17.95,29.19,26.05,3600,1.24
"AES2-70-61.wcnf",344.02,8.64,21.98,33.11,42.88,3600,7.73
"AES2-72-67.wcnf",3600,3600,3600,2849.87,760.01,3600,3600
