"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"10tree1020p.wcnf",30.44,13.26,3600,35.51,23.86,37.62,31.57
"10tree115p.wcnf",6.56,3.79,3.64,13.41,11.59,11.17,3.45
"10tree125p.wcnf",50.94,19.3,33.55,58.43,22.79,48.72,118.39
"10tree315p.wcnf",15.37,4.87,6.84,14.58,11.43,11.15,8.12
"10tree320p.wcnf",10.43,3.74,6.74,17.56,7.72,10.66,1.94
"10tree425p.wcnf",43.37,22.15,20.91,41.86,27.55,41.19,57.24
"10tree430p.wcnf",24.51,6.59,35.87,78.9,14.97,29.66,4.15
"10tree730p.wcnf",105.99,65.82,79.18,138.43,64.6,87.95,406.81
"10tree825p.wcnf",10.41,3.63,14.89,33.32,17.11,15.47,2.44
"15tree101p.wcnf",3.06,3.89,2.77,14.64,22.92,39.25,5.2
"15tree201p.wcnf",2.75,3.54,3.28,16.26,22.68,89.78,5.26
"15tree301posib.wcnf",10.68,5.01,7.65,40.74,53.09,19.57,9.48
"15tree401posib.wcnf",9.63,4.39,6.08,3600,40.39,43.68,4.67
"15tree501p.wcnf",17.14,11.29,15.32,55.78,50.83,23.36,27.7
"15tree701p.wcnf",24.47,10.6,16.47,47.83,53.29,292.07,21.57
"1bpi_2knt_gwcnft.wcnf",3600,321.78,615.96,135.78,387.07,77.96,404.68
"1bpi_5pti_gwcnft.wcnf",3600,235.89,112.12,68.52,296.03,24.99,113.22
"1knt_1bpi_gwcnft.wcnf",3600,376.3,333.13,197.83,340.41,103.89,321.56
"1knt_2knt_gwcnft.wcnf",21.54,16,3.45,10.1,124.26,1.39,13.15
"1knt_5pti_gwcnft.wcnf",3600,265.84,69.09,90.99,244.43,53.29,91.24
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf",5.62,14.55,10.4,27.07,14.69,8.52,6.04
"2knt_5pti_gwcnft.wcnf",3600,345.76,129.03,100.73,263.97,60.31,132.25
"3col140_5_10shuffledcnf.wcnf",24.22,6.28,13.17,25.78,39.08,3.01,10.25
"3col140_5_1shuffledcnf.wcnf",37.89,6.17,12.72,27.21,38.92,3.68,12.97
"3col140_5_2shuffledcnf.wcnf",55.47,3.51,13.21,30.23,33.03,2.7,11.21
"3col140_5_3shuffledcnf.wcnf",43.5,4.16,13.13,33.38,35.23,3.16,12.99
"3col140_5_4shuffledcnf.wcnf",33.66,7.05,13.38,26.26,36.57,2.51,9.68
"3col140_5_5shuffledcnf.wcnf",23.35,4.69,13.64,33.01,42.4,2.32,12.75
"3col140_5_6shuffledcnf.wcnf",51.08,6.5,16.25,34.97,47.43,3.29,11.57
"3col140_5_7shuffledcnf.wcnf",21.36,5.52,14.89,31.31,27.98,2.79,10.88
"3col140_5_8shuffledcnf.wcnf",62.31,6.38,13.56,25.48,33.35,2.96,10.9
"3col140_5_9shuffledcnf.wcnf",76.31,6.8,16.71,25.55,37.78,3.19,11.22
"3ebx_1era_gwcnft.wcnf",3600,699.36,582.69,368.7,356.5,107.98,401.34
"3ebx_6ebx_gwcnft.wcnf",184.68,43.77,54.29,27.06,123.08,8.4,21.02
"6ebx_1era_gwcnft.wcnf",3600,220.77,69.25,69.78,165.46,31.07,113.2
"7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf",38.31,4.3,3.7,12.06,12.26,7.12,5.94
"ac97_ctrl-debugdimacs.wcnf",9.88,0.68,0.28,0.34,3.6,11.8,0.59
"adult_train_1_DNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"adult_train_5_CNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"adult_train_8_CNF_3_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"AES1-30-5.wcnf",2.44,0.69,18.22,30.39,30.19,271.57,1.29
"AES1-40-6.wcnf",2.49,0.95,24.45,35.9,37.37,3600,1.04
"AES1-40-7.wcnf",2.41,0.98,17.62,27.81,34.54,2314.85,1.04
"AES1-60-17.wcnf",3.38,0.98,18.15,32.24,43.16,3600,1.13
"AES1-70-24.wcnf",87.29,2.98,30.67,42.28,34.41,3600,2.85
"AES1-76-37.wcnf",200.83,83.68,355.83,214.93,163.67,3600,19.22
"AES2-50-52.wcnf",12.9,1.4,18.66,30.09,26.89,3600,1.24
"AES2-70-61.wcnf",610.63,9.01,23.09,34.96,45.08,3600,7.85
"AES2-72-67.wcnf",3600,3600,3600,3243.49,805.94,3600,3600
"AES2-74-11.wcnf",2510.17,12.43,45.69,49.91,161.56,3600,12.54
"AES2-74-73.wcnf",6.99,2.51,111.08,127.88,37.93,3600,3.05
"apt-cudf-universe0ea62c_l1.wcnf",2.77,0.08,0.07,0.1,0.17,3600,0.36
"atcoss_mesat_01.wcnf",59.63,44.12,174.1,332.08,140.38,64.01,47.03
"atcoss_mesat_03.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_04.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_05.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_06.wcnf",89.09,81.95,351.9,521.8,131.4,306.38,57.53
"atcoss_mesat_10.wcnf",2480.09,1395.75,3600,3177.42,3600,1611.3,566.52
"atcoss_mesat_12.wcnf",8.54,6.68,53,98.15,38.32,61.32,7.94
"atcoss_mesat_18.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_01.wcnf",38.18,30.76,66.85,126.64,95.87,17.22,32
"atcoss_sugar_02.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_04.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_05.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_12.wcnf",203.61,17.55,53.77,164.37,116.77,30.7,18.04
"atcoss_sugar_15.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_18.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_19.wcnf",131.08,148.33,2243.4,108.46,70.77,1524.18,64.51
"australian.wcnf",3600,3600,3600,3600,3600,3600,3600
"b14_C-mbd14-0225.wcnf",1196.03,184.14,24.7,47.26,144.96,3175.35,24.86
"b14_C-mbd14-0307.wcnf",120.43,185.35,25.85,34.6,136.79,424.02,8.57
"b14-s_PathRelaxation_FS_14.wcnf",0.28,0.08,0.49,9.59,0.67,22.45,0.1
"b14-s_PathRelaxation_FS_16.wcnf",0.27,0.07,1.8,4.58,0.12,26.4,0.09
"b14-s_PathRelaxation_FS_25.wcnf",0.09,0.09,0.4,8.48,3.07,33.26,0.09
"b14-s_PathRelaxation_FS_46.wcnf",0.24,0.07,0.7,9.06,3.06,35.09,0.09
"b14-s_PathRelaxation_Set_FS_47.wcnf",4.18,0.79,5.39,29.31,4.54,383.05,0.68
"b17_C-mbd14-0304.wcnf",2.47,0.3,0.44,0.46,0.55,3.09,0.77
"b17_C-mbd14-0370.wcnf",5.67,0.46,0.43,0.46,1.28,23.7,1.18
"b18-s_PathRelaxation_Set_FS_32.wcnf",78.25,25.97,126.85,648.21,102.39,35.99,19.62
"b20_C-mbd14-0255.wcnf",57.57,1.86,3.97,26.64,16.54,199.39,2.83
"b20_C-mbd14-0328.wcnf",13.32,0.36,1.13,18.46,9.92,15.09,0.73
"b20_C-mbd14-0354.wcnf",8.47,0.65,1.24,24.93,14.3,135.82,1.21
"b21_C-mbd14-0205.wcnf",215.27,0.99,2.46,22.15,16.42,175.04,1.36
"b21_C-mbd14-0217.wcnf",9.73,0.37,1.38,15.66,17.35,18.11,0.89
"b21_C-mbd14-0267.wcnf",23.99,3.34,3.12,22.38,14.7,71.98,1.2
"b21_C-mbd14-0295.wcnf",230.14,13.78,16.59,39.38,68.81,540.71,10.59
"b21_C-mbd14-0349.wcnf",43.08,0.41,1.12,23.44,13.69,17.27,0.84
"b21-s_PathRelaxation_FS_28.wcnf",2.29,0.22,1.98,14.83,7.51,55.72,0.31
"b21-s_PathRelaxation_FS_42.wcnf",4.65,2.07,35.72,29.62,12.52,187.98,0.36
"b21-s_PathRelaxation_FS_47.wcnf",3.64,0.86,45.26,51.04,50.13,71.46,0.38
"b21-s_PathRelaxation_FS_48.wcnf",4.07,0.21,2.53,14.14,5.98,19.42,0.31
"b21-s_PathRelaxation_Set_FS_31.wcnf",16.31,5.76,46.22,247.28,77.92,643.47,2.27
"b22_C-mbd14-0222.wcnf",5.2,0.38,0.73,0.75,11.25,7.05,0.86
"b22_C-mbd14-0223.wcnf",4.69,0.39,0.72,0.73,0.89,16.54,0.79
"b22_C-mbd14-0240.wcnf",8.81,0.53,0.71,0.79,1.66,10.48,1.48
"b22_C-mbd14-0241.wcnf",19.72,0.45,0.8,1.01,8.62,6.2,1.06
"b22_C-mbd14-0300.wcnf",12.59,0.47,0.67,3.89,0.83,6.75,1.11
"bnn-last-layer-f10.wcnf",3600,3600,3067.2,1588.16,3600,3600,3600
"brock200_2clq.wcnf",92.83,43.65,34.41,63.26,36.31,12.77,10.33
"brock400_4clq.wcnf",3600,3600,3600,3600,3600,3600,3600
"c-fat500-2clq.wcnf",32.24,0.42,12.11,16.65,24.17,0.4,0.34
"c5315_F1@0.wcnf",0,0,0,0.01,0.01,3600,0
