"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"10tree1020p.wcnf",30.31,13.21,16.58,36.17,24.2,36.59,31.21
"10tree115p.wcnf",6.66,3.88,3.66,13.63,11.65,11.37,3.5
"10tree125p.wcnf",50.86,19.47,33.96,58.09,23.26,48.4,119.16
"10tree315p.wcnf",15.6,4.94,6.93,14.89,11.36,11.29,8.05
"10tree320p.wcnf",10.61,3.85,6.7,17.86,7.66,10.77,1.95
"10tree425p.wcnf",44.2,21.93,20.73,41.53,27.75,40.62,56.74
"10tree430p.wcnf",24.74,6.89,35.82,79.67,15.22,29.55,4.23
"10tree730p.wcnf",107.44,66.43,78.36,135.8,63.82,88.42,387.99
"10tree825p.wcnf",10.35,3.71,14.83,32.9,17.35,15.35,2.49
"15tree101p.wcnf",2.94,3.85,2.5,13.99,21.77,36.7,5.08
"15tree201p.wcnf",2.69,3.38,3.06,15.21,22.24,82.53,4.96
"15tree301posib.wcnf",9.82,4.49,6.67,36.73,48.07,17.51,8.31
"15tree401posib.wcnf",8.89,4.06,5.23,36.26,36.67,37.8,4.2
"15tree501p.wcnf",12.92,10.21,13.65,49.76,45.73,21.49,25.11
"15tree701p.wcnf",23.76,9.48,14.04,41.4,46.67,264.21,19.23
"1bpi_2knt_gwcnft.wcnf",3600,295.79,572.11,129.69,320.12,71.69,376.42
"1bpi_5pti_gwcnft.wcnf",3600,219.72,106.23,66.99,268.74,24.26,110.65
"1knt_1bpi_gwcnft.wcnf",3600,349.84,318.29,190.24,338.48,99.92,311.33
"1knt_2knt_gwcnft.wcnf",19.45,13.85,3.37,9.88,124.88,1.36,11.3
"1knt_5pti_gwcnft.wcnf",3600,248.73,67.23,88.52,234.26,51.25,86.46
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf",5.59,14.49,10.3,26.79,14.58,8.39,6
"2knt_5pti_gwcnft.wcnf",3600,327.74,124.65,98,266.54,58.84,125.96
"3col140_5_10shuffledcnf.wcnf",24.21,6.39,13.11,25.98,38.78,3.03,10.28
"3col140_5_1shuffledcnf.wcnf",37.83,6.15,12.73,27.18,38.95,3.7,12.91
"3col140_5_2shuffledcnf.wcnf",55.33,3.54,13.32,30.33,33.11,2.62,11.24
"3col140_5_3shuffledcnf.wcnf",43.45,4.18,13.13,33.47,34.9,3.17,13.06
"3col140_5_4shuffledcnf.wcnf",33.46,7.09,13.45,26.3,36.4,2.52,9.69
"3col140_5_5shuffledcnf.wcnf",23.38,4.59,13.65,32.66,42.42,2.31,12.69
"3col140_5_6shuffledcnf.wcnf",48.54,6.35,16.16,34.57,47.15,3.23,11.58
"3col140_5_7shuffledcnf.wcnf",21.32,5.56,14.82,31.28,28.26,2.85,10.87
"3col140_5_8shuffledcnf.wcnf",61,6.34,13.55,25.86,33.8,2.95,10.87
"3col140_5_9shuffledcnf.wcnf",76.1,6.79,16.68,25.88,37.12,3.27,11.13
"3ebx_1era_gwcnft.wcnf",3600,642.75,534.91,355.44,330.13,102.56,373.45
"3ebx_6ebx_gwcnft.wcnf",174.37,38.53,50.56,26.78,116.41,8.14,18.73
"6ebx_1era_gwcnft.wcnf",3600,210.57,65.88,67,167.56,29.79,108.15
"7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf",29.48,4.27,3.66,11.85,12.22,7.17,5.91
"ac97_ctrl-debugdimacs.wcnf",9.76,0.6,0.28,0.32,3.21,10.68,0.56
"adult_train_1_DNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"adult_train_5_CNF_2_1.wcnf",3600,3600,3600,3600,3164.32,3600,3600
"adult_train_8_CNF_3_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"AES1-30-5.wcnf",2.37,0.67,16.21,26.96,26.72,232.34,1.24
"AES1-40-6.wcnf",2.36,0.91,21.51,31.77,33.06,3600,1.02
"AES1-40-7.wcnf",2.32,0.92,15.72,25.18,31.43,2166.58,1.04
"AES1-60-17.wcnf",3.35,0.96,16.72,29.52,39.38,3600,1.11
"AES1-70-24.wcnf",106.4,2.84,27.99,38.91,31.66,3600,2.71
"AES1-76-37.wcnf",173.06,77.56,299.4,187.35,146.3,3600,17.76
"AES2-50-52.wcnf",11.66,1.33,16.75,27.31,24.57,3600,1.21
"AES2-70-61.wcnf",512.97,8.3,20.27,30.62,39.72,3600,7.45
"AES2-72-67.wcnf",3600,3600,3600,2544.28,699.49,3600,3600
"AES2-74-11.wcnf",1563.65,11.54,39.68,44.47,140.38,3600,11.64
"AES2-74-73.wcnf",6.56,2.36,92.42,108.39,34.14,3600,2.86
"apt-cudf-universe0ea62c_l1.wcnf",2.81,0.08,0.07,0.08,0.15,3600,0.35
"atcoss_mesat_01.wcnf",54.69,41.26,145.6,262.64,123.09,50.16,43.55
"atcoss_mesat_03.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_04.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_05.wcnf",2313.78,3600,3600,3600,3469.8,3450.03,2961.52
"atcoss_mesat_06.wcnf",64.1,72.47,259.8,383.42,115.14,241.3,52.26
"atcoss_mesat_10.wcnf",2112.16,1139.37,3600,2242.28,590.1,1153.62,501.55
"atcoss_mesat_12.wcnf",7.78,6.22,42.05,73.21,33.64,48.68,7.4
"atcoss_mesat_18.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_01.wcnf",34.88,30.05,60.39,112.35,86.4,14.54,30.14
"atcoss_sugar_02.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_04.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_05.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_12.wcnf",183.94,16.74,46.28,149.18,110.86,27.85,16.53
"atcoss_sugar_15.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_18.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_19.wcnf",114.99,115.55,1896.86,0.12,61.71,1328.69,51.8
"australian.wcnf",3600,3600,3600,3600,3600,3600,3600
"b14_C-mbd14-0225.wcnf",1297.23,173.93,24.62,46.44,144.37,3018.86,24.64
"b14_C-mbd14-0307.wcnf",101.96,179.58,25.26,33.43,132.35,404.56,8.4
"b14-s_PathRelaxation_FS_14.wcnf",0.27,0.08,0.49,9.52,0.66,22.75,0.09
"b14-s_PathRelaxation_FS_16.wcnf",0.27,0.07,1.79,4.68,0.12,26.1,0.09
"b14-s_PathRelaxation_FS_25.wcnf",0.09,0.09,0.41,8.44,3.09,33.04,0.09
"b14-s_PathRelaxation_FS_46.wcnf",0.23,0.07,0.7,9.24,3.04,34.71,0.09
"b14-s_PathRelaxation_Set_FS_47.wcnf",4.16,0.82,5.32,28.41,4.51,353.33,0.69
"b17_C-mbd14-0304.wcnf",2.49,0.29,0.42,0.44,0.52,2.96,0.74
"b17_C-mbd14-0370.wcnf",5.75,0.47,0.4,0.43,1.23,20.94,1.15
"b18-s_PathRelaxation_Set_FS_32.wcnf",74.73,21.12,110.03,547.58,99.15,28.71,17.97
"b20_C-mbd14-0255.wcnf",95.9,1.91,3.93,25.65,16.39,187.58,2.75
"b20_C-mbd14-0328.wcnf",19.04,0.35,1.07,17.1,9.69,14.54,0.71
"b20_C-mbd14-0354.wcnf",45.05,0.63,1.11,22.37,13.88,126.14,1.18
"b21_C-mbd14-0205.wcnf",113.82,0.97,2.29,20.5,15.5,159.53,1.33
"b21_C-mbd14-0217.wcnf",53.34,0.36,1.24,14.34,16.87,17.31,0.88
"b21_C-mbd14-0267.wcnf",34.15,3.36,3.03,20.98,13.87,68.25,1.15
"b21_C-mbd14-0295.wcnf",139.52,13.71,16.36,36.71,64.83,510.96,10.38
"b21_C-mbd14-0349.wcnf",86.18,0.4,1.09,22.57,13.51,16.85,0.82
"b21-s_PathRelaxation_FS_28.wcnf",2.29,0.21,1.96,15.13,7.47,56.64,0.31
"b21-s_PathRelaxation_FS_42.wcnf",4.64,2.1,35.26,29.38,12.84,186.05,0.36
"b21-s_PathRelaxation_FS_47.wcnf",3.65,0.88,45.92,50.14,49.95,71.55,0.38
"b21-s_PathRelaxation_FS_48.wcnf",4.07,0.22,2.56,14.26,5.95,18.99,0.3
"b21-s_PathRelaxation_Set_FS_31.wcnf",15.69,5.8,44.41,225.41,75.78,597.86,2.18
"b22_C-mbd14-0222.wcnf",5.37,0.36,0.61,0.62,11.13,6.79,0.81
"b22_C-mbd14-0223.wcnf",5.24,0.37,0.59,0.61,0.8,15.15,0.75
"b22_C-mbd14-0240.wcnf",15.83,0.49,0.59,0.68,1.59,9.83,1.41
"b22_C-mbd14-0241.wcnf",21.56,0.41,0.63,0.84,8.41,5.66,1.01
"b22_C-mbd14-0300.wcnf",12.5,0.44,0.54,3.66,0.76,6.07,1.06
"bnn-last-layer-f10.wcnf",3600,3600,2817.44,1520.27,3600,3600,3600
"brock200_2clq.wcnf",91.96,42.32,33.91,61.57,35.58,12.59,10.12
"brock400_4clq.wcnf",3600,3600,3600,3600,3600,3600,3600
"c-fat500-2clq.wcnf",31.71,0.4,12.1,16.66,24.01,0.38,0.36
"c5315_F1@0.wcnf",0,0,0,0.01,0.01,3600,0
