"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"10tree1020p.wcnf",30.38,13.3,3600,36.4,24.24,36.86,31.38
"10tree115p.wcnf",6.69,3.99,3.7,13.64,11.77,11.1,3.53
"10tree125p.wcnf",51.05,19.47,33.98,58.46,23.24,48.57,121.05
"10tree315p.wcnf",15.65,4.95,6.94,14.88,11.43,11.31,8.1
"10tree320p.wcnf",10.63,3.84,6.72,17.92,7.7,10.68,1.96
"10tree425p.wcnf",44.47,21.98,20.79,41.85,27.87,40.92,57.04
"10tree430p.wcnf",24.78,6.75,35.86,80.24,15.16,29.64,4.24
"10tree730p.wcnf",107.93,66.86,78.85,136.92,64.5,89.42,397.32
"10tree825p.wcnf",10.44,3.64,15.04,33.69,17.46,15.83,2.5
"15tree101p.wcnf",3.01,3.91,2.65,14.51,22.42,37.47,5.2
"15tree201p.wcnf",2.75,3.43,3.21,15.67,22.7,85.15,5.05
"15tree301posib.wcnf",10.14,4.64,7.11,38.49,49.67,18.72,8.59
"15tree401posib.wcnf",9.11,4.26,5.57,37.39,38.35,39.41,4.35
"15tree501p.wcnf",16.51,10.64,14.28,51.46,47.54,22.33,26.08
"15tree701p.wcnf",25.22,9.89,14.38,42.52,48.13,272.2,20.1
"1bpi_2knt_gwcnft.wcnf",3600,308.24,582.68,131.39,361.97,73.08,385.18
"1bpi_5pti_gwcnft.wcnf",3600,221.72,107.04,67.14,289.91,24.16,109.79
"1knt_1bpi_gwcnft.wcnf",3600,361.16,327.67,192.73,337.31,99.71,316.3
"1knt_2knt_gwcnft.wcnf",20.78,15.24,3.42,9.98,119.78,1.37,11.49
"1knt_5pti_gwcnft.wcnf",3600,257.08,67.94,89.23,257.44,52.29,87.72
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf",5.62,14.51,10.36,26.88,14.61,8.43,6.01
"2knt_5pti_gwcnft.wcnf",3600,337.7,126.06,98.83,251.94,59.74,128.08
"3col140_5_10shuffledcnf.wcnf",24.28,6.29,13.2,26.23,39.06,3.04,10.35
"3col140_5_1shuffledcnf.wcnf",38.04,6.19,12.76,27.14,39.4,3.68,12.98
"3col140_5_2shuffledcnf.wcnf",55.46,3.55,13.37,30.57,33.44,2.64,11.23
"3col140_5_3shuffledcnf.wcnf",43.46,4.2,13.24,33.61,35.15,3.19,13.11
"3col140_5_4shuffledcnf.wcnf",33.62,7.1,13.53,26.51,36.39,2.55,9.76
"3col140_5_5shuffledcnf.wcnf",23.54,4.61,13.71,32.94,42.66,2.33,12.76
"3col140_5_6shuffledcnf.wcnf",44.04,6.5,16.24,34.79,47.14,3.32,11.57
"3col140_5_7shuffledcnf.wcnf",21.4,5.59,14.85,31.41,28.24,2.79,10.86
"3col140_5_8shuffledcnf.wcnf",50.35,6.45,13.46,25.83,33.76,2.96,10.86
"3col140_5_9shuffledcnf.wcnf",76.46,6.78,16.66,25.81,37.07,3.22,11.13
"3ebx_1era_gwcnft.wcnf",3600,658.74,554.56,358.16,405.49,103.42,379.01
"3ebx_6ebx_gwcnft.wcnf",177.86,39.84,51.24,26.39,123.34,8.12,18.85
"6ebx_1era_gwcnft.wcnf",3600,216.15,66.29,67.48,164.29,29.95,108.53
"7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf",31.57,4.28,3.68,11.9,12.24,7.32,5.95
"ac97_ctrl-debugdimacs.wcnf",9.83,0.62,0.29,0.34,3.22,10.84,0.56
"adult_train_1_DNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"adult_train_5_CNF_2_1.wcnf",3600,3600,3600,3600,3600.13,3600,3600
"adult_train_8_CNF_3_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"AES1-30-5.wcnf",2.38,0.69,16.45,27.73,27.49,237.86,1.25
"AES1-40-6.wcnf",2.39,0.92,22.32,0,33.8,3600,1.03
"AES1-40-7.wcnf",2.35,0.94,16.18,25.76,32.32,2294.93,1.07
"AES1-60-17.wcnf",3.32,0.96,17.23,30.12,40.36,3600,1.11
"AES1-70-24.wcnf",98.82,2.86,28.88,40.15,32.4,3600,2.72
"AES1-76-37.wcnf",174.89,79.32,317.63,197.71,154.14,3600,18.41
"AES2-50-52.wcnf",10.31,1.35,17.67,28.78,25.64,3600,1.23
"AES2-70-61.wcnf",616.89,8.66,21.39,32.23,41.8,3600,7.57
"AES2-72-67.wcnf",3600,3600,3600,2765,745.92,3600,3600
