@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
agricola_p01.pddl,1,blind,1800,timeout
agricola_p01.pddl,1,Complementary1,128.15,ok
agricola_p01.pddl,1,Complementary2,59.57,ok
agricola_p01.pddl,1,DecStar,1800,timeout
agricola_p01.pddl,1,Delfi1,19.82,ok
agricola_p01.pddl,1,Delfi2,474.45,ok
agricola_p01.pddl,1,FDMS1,102.62,ok
agricola_p01.pddl,1,FDMS2,112.34,ok
agricola_p01.pddl,1,Metis1,1800,timeout
agricola_p01.pddl,1,Metis2,1800,timeout
agricola_p01.pddl,1,Planning-PDBs,53.6,ok
agricola_p01.pddl,1,Scorpion,1800,timeout
agricola_p01.pddl,1,symbolic-bidirectional,18.86,ok
agricola_p01.pddl,1,Symple-1,1732.14,ok
agricola_p01.pddl,1,Symple-2,1800,timeout
agricola_p02.pddl,1,blind,1800,timeout
agricola_p02.pddl,1,Complementary1,166.26,ok
agricola_p02.pddl,1,Complementary2,244.82,ok
agricola_p02.pddl,1,DecStar,1800,timeout
agricola_p02.pddl,1,Delfi1,33.71,ok
agricola_p02.pddl,1,Delfi2,64.25,ok
agricola_p02.pddl,1,FDMS1,94.76,ok
agricola_p02.pddl,1,FDMS2,303.91,ok
agricola_p02.pddl,1,Metis1,1800,timeout
agricola_p02.pddl,1,Metis2,1800,timeout
agricola_p02.pddl,1,Planning-PDBs,225.13,ok
agricola_p02.pddl,1,Scorpion,1800,timeout
agricola_p02.pddl,1,symbolic-bidirectional,78.38,ok
agricola_p02.pddl,1,Symple-1,1800,timeout
agricola_p02.pddl,1,Symple-2,1800,timeout
agricola_p03.pddl,1,blind,1800,timeout
agricola_p03.pddl,1,Complementary1,1106.63,ok
agricola_p03.pddl,1,Complementary2,1800,timeout
