@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
agricola_p01.pddl,1,blind,848.64,ok
agricola_p01.pddl,1,Complementary1,111.82,ok
agricola_p01.pddl,1,Complementary2,54.82,ok
agricola_p01.pddl,1,DecStar,1800,timeout
agricola_p01.pddl,1,Delfi1,19.95,ok
agricola_p01.pddl,1,Delfi2,472.81,ok
agricola_p01.pddl,1,FDMS1,87.89,ok
agricola_p01.pddl,1,FDMS2,112.52,ok
agricola_p01.pddl,1,Metis1,1800,timeout
agricola_p01.pddl,1,Metis2,1800,timeout
agricola_p01.pddl,1,Planning-PDBs,52.79,ok
agricola_p01.pddl,1,Scorpion,1800,timeout
agricola_p01.pddl,1,symbolic-bidirectional,18.37,ok
agricola_p01.pddl,1,Symple-1,1516.18,ok
agricola_p01.pddl,1,Symple-2,1492.45,ok
agricola_p02.pddl,1,blind,488.25,ok
agricola_p02.pddl,1,Complementary1,143.35,ok
agricola_p02.pddl,1,Complementary2,218,ok
agricola_p02.pddl,1,DecStar,1800,timeout
agricola_p02.pddl,1,Delfi1,33.56,ok
agricola_p02.pddl,1,Delfi2,62.75,ok
agricola_p02.pddl,1,FDMS1,81.95,ok
agricola_p02.pddl,1,FDMS2,296.47,ok
agricola_p02.pddl,1,Metis1,1800,timeout
agricola_p02.pddl,1,Metis2,1800,timeout
agricola_p02.pddl,1,Planning-PDBs,211.58,ok
agricola_p02.pddl,1,Scorpion,1800,timeout
agricola_p02.pddl,1,symbolic-bidirectional,74.71,ok
agricola_p02.pddl,1,Symple-1,1800,timeout
agricola_p02.pddl,1,Symple-2,1800,timeout
agricola_p03.pddl,1,blind,1065.33,ok
agricola_p03.pddl,1,Complementary1,1112.52,ok
agricola_p03.pddl,1,Complementary2,1043.75,ok
agricola_p03.pddl,1,DecStar,1800,timeout
agricola_p03.pddl,1,Delfi1,78.09,ok
agricola_p03.pddl,1,Delfi2,128.86,ok
agricola_p03.pddl,1,FDMS1,124.22,ok
agricola_p03.pddl,1,FDMS2,385.46,ok
agricola_p03.pddl,1,Metis1,1800,timeout
agricola_p03.pddl,1,Metis2,1800,timeout
agricola_p03.pddl,1,Planning-PDBs,1044.22,ok
agricola_p03.pddl,1,Scorpion,1514.05,ok
agricola_p03.pddl,1,symbolic-bidirectional,86.22,ok
agricola_p03.pddl,1,Symple-1,1800,timeout
agricola_p03.pddl,1,Symple-2,1800,timeout
agricola_p04.pddl,1,blind,1800,timeout
agricola_p04.pddl,1,Complementary1,214.75,ok
agricola_p04.pddl,1,Complementary2,130.64,ok
agricola_p04.pddl,1,DecStar,1800,timeout
agricola_p04.pddl,1,Delfi1,29.47,ok
agricola_p04.pddl,1,Delfi2,51.78,ok
agricola_p04.pddl,1,FDMS1,339.63,ok
agricola_p04.pddl,1,FDMS2,159.49,ok
agricola_p04.pddl,1,Metis1,1800,timeout
agricola_p04.pddl,1,Metis2,1800,timeout
agricola_p04.pddl,1,Planning-PDBs,129.89,ok
agricola_p04.pddl,1,Scorpion,1800,timeout
agricola_p04.pddl,1,symbolic-bidirectional,45.66,ok
agricola_p04.pddl,1,Symple-1,1800,timeout
agricola_p04.pddl,1,Symple-2,1800,timeout
agricola_p05.pddl,1,blind,1429.03,ok
agricola_p05.pddl,1,Complementary1,761.52,ok
agricola_p05.pddl,1,Complementary2,1094.83,ok
agricola_p05.pddl,1,DecStar,1800,timeout
agricola_p05.pddl,1,Delfi1,88.39,ok
agricola_p05.pddl,1,Delfi2,129.92,ok
agricola_p05.pddl,1,FDMS1,190.97,ok
agricola_p05.pddl,1,FDMS2,385.26,ok
agricola_p05.pddl,1,Metis1,1800,timeout
agricola_p05.pddl,1,Metis2,1800,timeout
agricola_p05.pddl,1,Planning-PDBs,1029.78,ok
agricola_p05.pddl,1,Scorpion,1800,timeout
agricola_p05.pddl,1,symbolic-bidirectional,47.47,ok
agricola_p05.pddl,1,Symple-1,1800,timeout
agricola_p05.pddl,1,Symple-2,1800,timeout
agricola_p06.pddl,1,blind,1800,timeout
agricola_p06.pddl,1,Complementary1,1232.51,ok
agricola_p06.pddl,1,Complementary2,1678.43,ok
agricola_p06.pddl,1,DecStar,1800,timeout
agricola_p06.pddl,1,Delfi1,101.12,ok
agricola_p06.pddl,1,Delfi2,165.22,ok
agricola_p06.pddl,1,FDMS1,402.77,ok
agricola_p06.pddl,1,FDMS2,612.61,ok
agricola_p06.pddl,1,Metis1,1800,timeout
agricola_p06.pddl,1,Metis2,1800,timeout
agricola_p06.pddl,1,Planning-PDBs,1800,timeout
agricola_p06.pddl,1,Scorpion,1800,timeout
agricola_p06.pddl,1,symbolic-bidirectional,268.98,ok
agricola_p06.pddl,1,Symple-1,1800,timeout
agricola_p06.pddl,1,Symple-2,1800,timeout
agricola_p07.pddl,1,blind,1800,timeout
agricola_p07.pddl,1,Complementary1,256.24,ok
agricola_p07.pddl,1,Complementary2,919.71,ok
agricola_p07.pddl,1,DecStar,1800,timeout
agricola_p07.pddl,1,Delfi1,76.61,ok
agricola_p07.pddl,1,Delfi2,103.75,ok
agricola_p07.pddl,1,FDMS1,759.58,ok
agricola_p07.pddl,1,FDMS2,244.91,ok
agricola_p07.pddl,1,Metis1,1800,timeout
agricola_p07.pddl,1,Metis2,1800,timeout
agricola_p07.pddl,1,Planning-PDBs,919.85,ok
agricola_p07.pddl,1,Scorpion,1800,timeout
agricola_p07.pddl,1,symbolic-bidirectional,71.24,ok
agricola_p07.pddl,1,Symple-1,1800,timeout
agricola_p07.pddl,1,Symple-2,1800,timeout
agricola_p08.pddl,1,blind,1800,timeout
agricola_p08.pddl,1,Complementary1,1358.65,ok
agricola_p08.pddl,1,Complementary2,1800,timeout
agricola_p08.pddl,1,DecStar,1800,timeout
agricola_p08.pddl,1,Delfi1,432.69,ok
agricola_p08.pddl,1,Delfi2,523.01,ok
agricola_p08.pddl,1,FDMS1,1800,timeout
agricola_p08.pddl,1,FDMS2,385.18,ok
agricola_p08.pddl,1,Metis1,1800,timeout
agricola_p08.pddl,1,Metis2,1800,timeout
agricola_p08.pddl,1,Planning-PDBs,1800,timeout
agricola_p08.pddl,1,Scorpion,1800,timeout
agricola_p08.pddl,1,symbolic-bidirectional,367.89,ok
agricola_p08.pddl,1,Symple-1,1800,timeout
agricola_p08.pddl,1,Symple-2,1800,timeout
agricola_p09.pddl,1,blind,1800,timeout
agricola_p09.pddl,1,Complementary1,1340.06,ok
agricola_p09.pddl,1,Complementary2,1800,timeout
agricola_p09.pddl,1,DecStar,1800,timeout
agricola_p09.pddl,1,Delfi1,806.72,ok
agricola_p09.pddl,1,Delfi2,887.93,ok
agricola_p09.pddl,1,FDMS1,791,ok
agricola_p09.pddl,1,FDMS2,946.88,ok
agricola_p09.pddl,1,Metis1,1800,timeout
agricola_p09.pddl,1,Metis2,1800,timeout
agricola_p09.pddl,1,Planning-PDBs,1800,timeout
agricola_p09.pddl,1,Scorpion,1800,timeout
agricola_p09.pddl,1,symbolic-bidirectional,248.87,ok
agricola_p09.pddl,1,Symple-1,1800,timeout
agricola_p09.pddl,1,Symple-2,1800,timeout
agricola_p10.pddl,1,blind,1800,timeout
agricola_p10.pddl,1,Complementary1,1287.92,ok
agricola_p10.pddl,1,Complementary2,1800,timeout
agricola_p10.pddl,1,DecStar,1800,timeout
agricola_p10.pddl,1,Delfi1,178.82,ok
agricola_p10.pddl,1,Delfi2,212.65,ok
agricola_p10.pddl,1,FDMS1,1800,timeout
agricola_p10.pddl,1,FDMS2,1800,timeout
agricola_p10.pddl,1,Metis1,1800,timeout
agricola_p10.pddl,1,Metis2,1800,timeout
agricola_p10.pddl,1,Planning-PDBs,1800,timeout
agricola_p10.pddl,1,Scorpion,1800,timeout
agricola_p10.pddl,1,symbolic-bidirectional,151.61,ok
agricola_p10.pddl,1,Symple-1,1800,timeout
agricola_p10.pddl,1,Symple-2,1800,timeout
agricola_p11.pddl,1,blind,1800,timeout
agricola_p11.pddl,1,Complementary1,1800,timeout
agricola_p11.pddl,1,Complementary2,1800,timeout
agricola_p11.pddl,1,DecStar,1800,timeout
agricola_p11.pddl,1,Delfi1,336.12,ok
agricola_p11.pddl,1,Delfi2,393.98,ok
agricola_p11.pddl,1,FDMS1,1351.75,ok
agricola_p11.pddl,1,FDMS2,682.28,ok
agricola_p11.pddl,1,Metis1,1800,timeout
agricola_p11.pddl,1,Metis2,1800,timeout
agricola_p11.pddl,1,Planning-PDBs,1800,timeout
agricola_p11.pddl,1,Scorpion,1800,timeout
agricola_p11.pddl,1,symbolic-bidirectional,295.94,ok
agricola_p11.pddl,1,Symple-1,1800,timeout
agricola_p11.pddl,1,Symple-2,1800,timeout
agricola_p12.pddl,1,blind,1800,timeout
agricola_p12.pddl,1,Complementary1,1235.31,ok
agricola_p12.pddl,1,Complementary2,1800,timeout
agricola_p12.pddl,1,DecStar,1800,timeout
agricola_p12.pddl,1,Delfi1,878.84,ok
agricola_p12.pddl,1,Delfi2,978.98,ok
agricola_p12.pddl,1,FDMS1,1800,timeout
agricola_p12.pddl,1,FDMS2,1800,timeout
agricola_p12.pddl,1,Metis1,1800,timeout
agricola_p12.pddl,1,Metis2,1800,timeout
agricola_p12.pddl,1,Planning-PDBs,1800,timeout
agricola_p12.pddl,1,Scorpion,1800,timeout
agricola_p12.pddl,1,symbolic-bidirectional,329.53,ok
agricola_p12.pddl,1,Symple-1,1800,timeout
agricola_p12.pddl,1,Symple-2,1800,timeout
agricola_p13.pddl,1,blind,1800,timeout
agricola_p13.pddl,1,Complementary1,1800,timeout
agricola_p13.pddl,1,Complementary2,1800,timeout
agricola_p13.pddl,1,DecStar,1800,timeout
agricola_p13.pddl,1,Delfi1,930.94,ok
agricola_p13.pddl,1,Delfi2,977.25,ok
agricola_p13.pddl,1,FDMS1,1800,timeout
agricola_p13.pddl,1,FDMS2,656,ok
agricola_p13.pddl,1,Metis1,1800,timeout
agricola_p13.pddl,1,Metis2,1800,timeout
agricola_p13.pddl,1,Planning-PDBs,1800,timeout
agricola_p13.pddl,1,Scorpion,1800,timeout
agricola_p13.pddl,1,symbolic-bidirectional,664.81,ok
agricola_p13.pddl,1,Symple-1,1800,timeout
agricola_p13.pddl,1,Symple-2,1800,timeout
agricola_p14.pddl,1,blind,1800,timeout
agricola_p14.pddl,1,Complementary1,1800,timeout
agricola_p14.pddl,1,Complementary2,1800,timeout
agricola_p14.pddl,1,DecStar,1800,timeout
agricola_p14.pddl,1,Delfi1,1250.31,ok
agricola_p14.pddl,1,Delfi2,1800,timeout
agricola_p14.pddl,1,FDMS1,1800,timeout
agricola_p14.pddl,1,FDMS2,901.85,ok
agricola_p14.pddl,1,Metis1,1800,timeout
agricola_p14.pddl,1,Metis2,1800,timeout
