@relation R_data_frame
@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric
@data
slp-synthesis-aes-bottom20.cnf,1,6
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3085-SAT.cnf,1,3
AProVE11-12.cnf,1,3
slp-synthesis-aes-top23.cnf,1,5
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed030-NOTKNOWN.cnf,1,9
aaai10-planning-ipc5-TPP-21-step11.cnf,1,1
hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,1,6
9dlx_vliw_at_b_iq8used-assat04-718.cnf,1,10
comb1shuffled.cnf,1,4
E07N15.cnf,1,7
vda_gr_rcs_w9shuffled.cnf,1,6
aaai10-planning-ipc5-rovers-18-step12.cnf,1,2
ibm-2002-21r-k95.cnf,1,10
dspam_dump_vc949.cnf,1,2
rbcl_xits_18_SAT.cnf,1,8
dme-03-1-k247-unsatshuffled-assat03-407.cnf,1,3
aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,5
smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,4
am_7_7shuffled-assat03-363.cnf,1,9
11pipe_k.cnf,1,4
hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,1,10
korf-15.cnf,1,2
countbitsarray04_32.cnf,1,9
slp-synthesis-aes-top28.cnf,1,1
dated-5-11-u.cnf,1,1
12pipe_bug4_q0used-assat04-723.cnf,1,10
sha0_36_5.cnf,1,2
blocks-blocks-37-1150-SAT.cnf,1,5
smulo064.cnf,1,6
E02F22.cnf,1,7
slp-synthesis-aes-bottom15.cnf,1,1
gss-19-s100.cnf,1,9
eqatreebraun12unsat.cnf,1,1
homer16shuffled.cnf,1,10
aes_32_4_keyfind_1.cnf,1,2
hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf,1,6
aes_32_3_keyfind_1.cnf,1,4
traffic_r_sat.cnf,1,5
sortnet-8-ipc5-h19-sat.cnf,1,9
gss-14-s100.cnf,1,3
blocks-blocks-36-0160-NOTKNOWN.cnf,1,3
manol-pipe-f7nidw.cnf,1,8
cube-11-h14-sat.cnf,1,9
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1045-NOTKNOWN.cnf,1,3
slp-synthesis-aes-top26.cnf,1,6
aaai10-planning-ipc5-rovers-18-step11.cnf,1,4
11pipe_11_ooo.cnf,1,8
6pipe_6_oooshuffled-assat03-413.cnf,1,3
hwmcc10-timeframe-expansion-k50-pdtvisns3p00-tseitin.cnf,1,2
UR-20-10p1.cnf,1,6
aes_32_1_keyfind_1.cnf,1,6
partial-10-17-s.cnf,1,10
hard-25-U-7061.cnf,1,5
slp-synthesis-aes-bottom25.cnf,1,2
UCG-15-10p0.cnf,1,2
gss-27-s100.cnf,1,10
E05F20.cnf,1,9
countbitsrotate032.cnf,1,8
