"InstanceName","abcdSAT_drup","BeansAndEggs","CHBR_glucose","CHBR_glucose_tuned","cmsat5_autotune2","cmsat5_main2","COMiniSatPSChandrasekharDRUP","GHackCOMSPS_DRUP","glucose","glucose_hack_kiel_newScript","Glucose_nbSat","glue_alt","glueminisat.2210.81.main","gulch","Lingelingbbcmain","MapleCMS","MapleCOMSPS_CHB_DRUP","MapleCOMSPS_DRUP","MapleCOMSPS_LRB_DRUP","MapleGlucose","Riss6","Splatz06vmain","tb_glucose","tc_glucose","YALSAT03r"
"sat/10pipe_k.cnf",2158.15,1156.3,827.71,844.91,911.88,5000,524.67,425.5,385.33,5000,605.6,2644.47,1093.94,1967.47,313.74,449.42,396.22,2733.67734980614,399.8,3446.05625872,5000,222.48,1071.37,1456.55,5000
"sat/14pipe_q0_k.cnf",1613.01,1494.17,1095.77,1115.71,3584.59,5000,1284.14,1230.9,1037.54,1628.49,1560.58,3138.85,1172.88,1688.71,681.81,932.37,1133.57,3281.23,1906.96,5000,5000,389.39,1564.24,1619.45,5000
"sat/16pipe_16_ooo.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/1dlx_c_iq57_a.cnf",1129.7,1091.35,1109.79,995.66,468.86,521.82,817.8,812.06,932.43,983.69,908.94,1890.18,1351.28,2136.27,1302.97,916.72,826.49,2969.11517837933,693.67,3139.23,4839.62,595.21,969.24,998.21,5000
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf",168.93,242.37,179.41,193.28,235.46,230.55,263.64,233.84,134.05,256.28,260.45,543.62,288.93,227.41,199.4,568.37,180.4,2610.66253688046,174.53,3361.62,3035.26,118.04,158.15,164.45,5000
"sat/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf",1806.37,1268.46,1158.62,1221.94,1100.95,1176.82,1684.4,1409.49,1082.28,1609.81,1647.57,3607.19,1688.25,1636.09,1389.16,3124.15,1579.65,3226.63,1495.05,5000,5000,817.95,1430.75,1473.37,5000
"sat/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf",2419.59,1885.39,1891.30532412568,2018.7,1697.98,1827.23,2670.92,2193.54,1581.77,2248.89,2332.05,5000,2495.22,1985.43,1761.59,4315.67,2448.58,3710.68,2366.81,4954.28,5000,1193.26,1990.73,1956.85,5000
"sat/abb313GPIA-9-c.used-as.sat04-317.cnf",5000,5000,5000,5000,5000,5000,334.5,249.18,5000,5000,5000,5000,5000,5000,5000,5000,5000,582.9,293.08,5000,5000,5000,5000,5000,300.1
"sat/ablmulub16x4o.cnf",246.7,397.52,330.94,508.32,454.64,458.33,310.31,318.21,531.51,538.46,573.22,572.92,500.99,359.59,421.37,273.73,462.96,195.09,359.099516074234,191.25,2815.31,717.89,470.28,298.71,5000
"sat/ablmulub2x32o.cnf",293.65,1659.78,698.87,1342.98,720.12,695.53,985.99,1366.7,1524,1597.5,1622.92,2061.52,1616.69967019584,1667.11,549.97,465.1,813.473535088774,333.051592595738,812.147179110514,344.43,5000,2388.17,1636.44,1042.4,5000
"sat/ablmulub8x16o.cnf",3591.95,3234.98,3085.46,4943.45,5000,5000,3161.55,4427.72,5007.71207811721,4102.37616986802,5000,5000,5000,3451.6,2508.24,3632.66,4185.67,1289.93,2350.59,1437.54,5000,5000,4604.36,3535.14,5000
"sat/ACG-20-10p0.cnf",833.45,2065.86,1606.32,1628.05,971.82,1037.39,1371.4,4775.83,2007.09,2976.12,2046.12,2842.09,748.22,5000,674.95,1194.51,924.06,748.94,551.52,2481.74,5000,940.02,2658.54,2734.58,5000
"sat/ACG-20-5p1.cnf",260.49,448.41,505.03,526.29,435.74,481.13,352.89,805.4,342.48,343.91,333.47,529.28,198.93,324.48,328.68,532.76,132.85,207.48,226.66,606.88,2069.84,5000,527.57,523.37,5000
"sat/add_01_1000_4.smt2-cvc4.cnf",7.62,11.72,8.41,8.64,13.26,13.53,9.93,6.76,7.96,7.64,8.36,7.07,9.38,15.59,10.58,23.856553063384,9.75,19.74,13.08,19.17,85.04,5000,6.99,7.58,5000
"sat/aes_32_3_keyfind_2.cnf",893.96,2567.92,1341.58,1345.67,2874.09,2773.91,36.13,2413.84435585828,285.3,1434.5,4847.94,1448.66,854.93,722.74,3372.65,138.02,100.12,241.88,90.39,802.091073565791,2466.79,5000,2058.03,398.12,5000
"sat/aes_32_5_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/aes_64_2_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
