"InstanceName","abcdSAT_drup","BeansAndEggs","CHBR_glucose","CHBR_glucose_tuned","cmsat5_autotune2","cmsat5_main2","COMiniSatPSChandrasekharDRUP","GHackCOMSPS_DRUP","glucose","glucose_hack_kiel_newScript","Glucose_nbSat","glue_alt","glueminisat.2210.81.main","gulch","Lingelingbbcmain","MapleCMS","MapleCOMSPS_CHB_DRUP","MapleCOMSPS_DRUP","MapleCOMSPS_LRB_DRUP","MapleGlucose","Riss6","Splatz06vmain","tb_glucose","tc_glucose","YALSAT03r"
"sat/10pipe_k.cnf",2114.19133982917,1097.47,801.98,811.216929554241,888.756559090112,5000,502.13,415.07,366.28,5000,577.41,2593.36,1040.12,1938.64,303.79,444.03,378.72,2733.03367799784,383.6,3639.69,5000,217.62,971.33,1344.03,5000
"sat/14pipe_q0_k.cnf",1349.50433488091,1243.66636358769,984.682525679359,987.821378936797,3390.54,5000,1211.68,1151.91871555758,874.16,1418.67,1415.95,2635.76,985.018831484089,1411.79,626.69,892.404599423631,966,3156.65219733719,1694.41,5000,5000,383.99612248652,1491.64,1464.26,5000
"sat/16pipe_16_ooo.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/1dlx_c_iq57_a.cnf",1129.21472871455,922.462064483429,813.629681138488,864.736892449789,434.09,458.6,647.92,720.079973368276,719.23,780.45,726.196958007116,1656.60767735044,1289.43302177755,1542.88,1082.85807707997,762.89,716.883734029903,2971.8084078589,655.172468303496,3060.45,4517.46820699616,518.86,843.956892800181,865.485415119628,5000
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf",165.19,229.63,181.12,177.34,217.98,231.319786501726,237.05,209.53,116.16,251.44,225.62,521.21,246.61,199.93,187.72,541.06,163.32,2610.67981808183,169.4,3287.24503485461,2866.29,100.45,153.04,157,5000
"sat/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf",1613.82,1126.74998547169,1106.77,1101.68,1016.16341909939,1086.713862312,1511.17626866845,1182.44418421672,908.93,1473.48721351346,1365.18623923611,2920.73022223278,1394.47,1283,1247.74952945101,2616.33,1210.63,3142.27,1245.01,5000,5000,771.72,1400.82,1356.07,5000
"sat/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf",1951.11000285982,1730.04264891944,1891.04043391687,1946.98907248618,1539.56,1705.61,2216.42568241575,2181.68006229001,1279.42787827085,1935.48656727839,1912.71726356859,5000,2039.73472738299,1708.77424342755,1526.93,4001.16,2025.18,3579.72734209066,1975.09949259944,5000,5000,1141.06,1920.3,1901.37,5000
"sat/abb313GPIA-9-c.used-as.sat04-317.cnf",5000,5000,5000,5000,5000,5000,308.61,231.18,5000,5000,5000,5000,5000,5000,5000,5000,5000,554.17,273.19,5000,5000,5000,5000,5000,300.51
"sat/ablmulub16x4o.cnf",246.01,386.79,319.252855620238,516.2,447.74,440.54,309.06,317.88,535.02,522.19,574.24416092306,563.01,487.63,359.59,415.01,273.96,455.24,199.35,358.349578670695,190.02,2795.85,694.04,469.86,295.39,5000
"sat/ablmulub2x32o.cnf",294.47,1667.13,692.4,1323.82,716.89,691.75,1006,1335.94,1532.98,1587.01298853207,1595.18,2044.62,1615.38850232299,1655.51,547.06,464.63,813.727554409297,338.43,814.80452733317,338.52,5000,2322.58,1619.86,1055.08,5000
