"InstanceName","abcdSAT_drup","BeansAndEggs","CHBR_glucose","CHBR_glucose_tuned","cmsat5_autotune2","cmsat5_main2","COMiniSatPSChandrasekharDRUP","GHackCOMSPS_DRUP","glucose","glucose_hack_kiel_newScript","Glucose_nbSat","glue_alt","glueminisat.2210.81.main","gulch","Lingelingbbcmain","MapleCMS","MapleCOMSPS_CHB_DRUP","MapleCOMSPS_DRUP","MapleCOMSPS_LRB_DRUP","MapleGlucose","Riss6","Splatz06vmain","tb_glucose","tc_glucose","YALSAT03r"
"sat/10pipe_k.cnf",2186.81,1163.05,841.47,854.68,920.69,5000,511.74,431.01,383.53,5000,597.76,2612.13,1087.29,1953.49,313.4,463.16,399.53,2735.95310463783,403.78,3446.87113398163,5000,224.34,1085.15,1434.14,5000
"sat/14pipe_q0_k.cnf",1488.39,1485.15,1213.26,1136.47,3652.02,5000,1380.4,1234.31,1067,1677.26,1570.02,3249.83,1177.76,1754.36,687.7,950.38,1163.77,3392.58,1855.68,5000,5000,396.4,1555.22,1633.57,5000
"sat/16pipe_16_ooo.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/1dlx_c_iq57_a.cnf",1247.35,1161.48,1063.87,1089.54,481.6,551.45,850.67,840.13,1005.18,997.26,937.04,1952.7,1374.92,2063.94,1287.49,937.8,889.19,2969.22029063554,789.72,3293.7,4823.18,669.24,992.29,1030.65,5000
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf",173.99,260.4,188.65,183.27,229.93,245.54,242.84,239.69,128.5,257.53,258.14,589.58,255.31,225.19,196.63,575.58,184.44,2608.05160873465,191.92,3287.03895964968,3068.03,114.38,165.58,169.09,5000
"sat/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf",1854.83,1281.55,1222.43,1200.47,1111.01,1175.28,1684.46,1466.24,1156.99,1687.62,1633.68,3779.47,1747.92,1616.93,1460.72,3155.44,1512.49,3218.73,1467.47,4997.13015070505,5000,5000,1524.9,1377,5000
"sat/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf",2489.51,1980.39,1902.24,1945.87565609146,1675.86,1856.37,2705.11,2304.44,1561.95,2315.58,2374.78,5000,2513.74,2167.82,1839.35,4392.27,2422.54,3715.48,2443.08,5000,5000,5000,1993.35,1997.54,5000
"sat/abb313GPIA-9-c.used-as.sat04-317.cnf",5000,5000,5000,5000,5000,5000,326.42,251.47,5000,5000,5000,5000,5000,5000,5000,5000,5000,578.47,286.75,5000,5000,5000,5000,5000,303.04
"sat/ablmulub16x4o.cnf",247.85,402.23,326.94,521.88,463.04,470.82,314.01,316.49,542.36,537.26,584.43,572.1,503.67,357.2,419.06,277.26,459.65,194.22,357.376920773582,191.34,2838.54,760.26,472.81,298.85,5000
"sat/ablmulub2x32o.cnf",294.99,1680.82,702.2,1350.88,719.32,705.6,989.19,1348.98,1524.95,1623.53,1627.75,2061.62,1639.1,1720.19,549.29,468.83,823.25,333.630042608275,819.79,351.58,5000,2427.43,1629.36,1053.16,5000
"sat/ablmulub8x16o.cnf",3617.04,3399.41,3193.11,5000,5000,5000,3170.11,4399.9,5005.69585372467,4161.9,5000,5000,5000,3449.77,2499.28,3644.49,4138.5817634205,1271.9973149862,2371.93,1447.56,5000,5000,4529.1,3576.82,5000
"sat/ACG-20-10p0.cnf",837.29,2294.74,1314.99,1314.38,1015.29,975.43,1354.15,4389.31,2237.72,3304.18,1802.38,2773.15,826.64,4390.13,702.6,1310.03,998.58,731.18,607.85,2852.92,5000,5000,2952.29,2962.77,5000
"sat/ACG-20-5p1.cnf",245.22,337.2,609.44,446.12,450.28,489.18,400.6,627.02,424.67,348.23,426.48,404.39,234.83,417.64,353.55,502.97,149.67,215.11,230.36,677.58,2081.09,287.19,518.66,521.15,5000
"sat/add_01_1000_4.smt2-cvc4.cnf",7.31,11.1,7.99,7.99,13.29,13.24,9.51,6.42,7.5,7.31,8.34,7.12,9.81,14.96,10.64,23.2327186299547,10.15,20.08,12.95,19.88,84.54,20.32,7.22,7.81,5000
"sat/aes_32_3_keyfind_2.cnf",896.39,2549.47,1349.08,1347.74,2939.16,2825.93,35.11,2466.51,275.06,1415.89,5000,1398.79,868.83,741.44,3424.27,141.63,102.95,238.22,90.94,808.26,2449.39,2759.89,2095.57,399,5000
"sat/aes_32_5_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/aes_64_2_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/aes_64_3_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak016modbtsimpbisc.cnf",5000,3605.13,5000,5000,3891.37,3789.09,2666.23,3053.27,2349.13,2482.47,2074.61,1317.55,5000,5000,5000,5000,3509.6,3762.91921736353,2302.21,5000,5000,470.58,2523.56,5000,5000
"sat/ak032diagodiagoisc.cnf",5000,5000,5000,5000,1257.39,1263.93,5000,5000,2690.62,2006.37,5000,452.7,1615.16,4299.25,35.06,5000,5000,5000,5000,5000,5000,88.78,5000,5000,5000
"sat/ak032modbtmodbtisc.cnf",5000,5000,3278.46,3300.49,4241.54,4061.14,5000,5000,3544.38,4847.17,4717.38,2789.44,2396.3,5000,5000,5000,5000,5000,5000,5000,5000,300.55,4258.94,4526.58,5000
"sat/ak032modbtsimpbisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak064boothboothisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak064diagodiagoisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2400.84,5000,5000,5000,5000,5000,5000,2860.45,5000,5000,5000
"sat/ak064modasbg2asisc.cnf",915.5,5000,707.73,713.42,1307.32,1326.12,5000,0.99,5000,4.74,5000,1277.65,734.22,5000,2526.58,5000,5000,5000,5000,5000,8.08,1049.06,10.35,11.49,45.79
