Instance,claspfolio
causal_n7_i7_N1000_uai14_harddeps_int.wcnf,86.3500
g3_n26e25_n27e26_n42e48.wcnf,821.6900
g7_n13e12_n13e12_n13e12_n13e12_n14e13_n15e14_n24e31.wcnf,39.6900
b21_C-mbd14-0205.wcnf,3.7100
normalized-f20c10b_005_area_delay.wcnf,18.1500
TWComp_eil51tsp_N51.wcnf,342.1800
threshold128_3.wcnf,1.0300
rev66-20.wcnf,36000.0000
adult_train_5_CNF_2_1.wcnf,2799.4000
d4.wcnf,36000.0000
rand179_l2.wcnf,2.5200
rsdecoder_fsm1dimacsfiltered.wcnf,362.5800
threshold128_2.wcnf,57.6900
extension-enforcement_non-strict_stb_200_01_4_10_4.wcnf,122.6100
frb40-19-4partial.wcnf,4.4300
house-votes-84.wcnf,49.4100
gen_add_4_33.wcnf,0.2600
TWComp_huck_N74.wcnf,347.0800
TWComp_miles500_N128.wcnf,495.8400
gen_cvc-add3-carry2-gadget_9999.wcnf,1.1200
MinFill_R10_anna.wcnf,3.4700
divider-problemdimacs_2filtered.wcnf,8.9600
extension-enforcement_non-strict_stb_200_005_4_10_4.wcnf,662.9400
normalized-5xp1bopbmsat.wcnf,0.1800
sudoku-debugdimacs.wcnf,3.2400
rev66-24.wcnf,36000.0000
TWComp_jean_N77.wcnf,360.5500
kbtree9_7_3_5_90_5wcsp.wcnf,20.4100
cnf8p7.wcnf,30.3300
uaq-plb-nr250-nc83-n5-k2-rpp3-ppr5-plb90.wcnf,251.5500
wqueens18_16wcspdir.wcnf,0.1500
sbox_8.wcnf,36000.0000
SAT_RACE08__cnf__ibm-2004-01-k90cnfwcnf10.wcnf,37.1100
3col140_5_2shuffledcnf.wcnf,3.5400
SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-12-step16cnfwcnf8.wcnf,5.5500
vga-debugdimacs.wcnf,361.4500
extension-enforcement_non-strict_stb_200_005_3_10_0.wcnf,810.8300
b17_C-mbd14-0370.wcnf,9.2700
AES1-40-6.wcnf,35.7600
frb35-17-3partial.wcnf,1.8400
s38584_nan_explicit_27_0.wcnf,154.2300
3col140_5_9shuffledcnf.wcnf,6.7800
tae.wcnf,256.1100
b20_C-mbd14-0255.wcnf,4.7100
extension-enforcement_non-strict_stb_200_005_0_10_3.wcnf,237.0400
ram_k3_n10ra0.wcnf,36000.0000
gen_square_5_299.wcnf,21.7800
heatShock_WT_121_12lpsm-extracted.wcnf,361.0700
