@RELATION FEATURES_RUNSTATUS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL {ok, timeout, memout, not_applicable, crash, other}

@DATA
slp-synthesis-aes-bottom20.cnf,1,ok
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3085-SAT.cnf,1,ok
velev-pipe-o-uns-11-6.cnf,1,ok
AProVE11-12.cnf,1,ok
vmpc_36renamed-assat05-1922.cnf,1,ok
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed060-SAT.cnf,1,ok
slp-synthesis-aes-top23.cnf,1,ok
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed030-NOTKNOWN.cnf,1,ok
md5_48_3.cnf,1,ok
hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,1,ok
9dlx_vliw_at_b_iq8used-assat04-718.cnf,1,ok
comb1shuffled.cnf,1,ok
E07N15.cnf,1,ok
9dlx_vliw_at_b_iq6used-assat04-347.cnf,1,ok
aaai10-planning-ipc5-rovers-18-step12.cnf,1,ok
ibm-2002-21r-k95.cnf,1,ok
dspam_dump_vc949.cnf,1,ok
dme-03-1-k247-unsatshuffled-assat03-407.cnf,1,ok
aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,ok
smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,ok
hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,ok
11pipe_k.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,1,ok
korf-15.cnf,1,ok
slp-synthesis-aes-top28.cnf,1,ok
dated-5-11-u.cnf,1,ok
smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf,1,ok
rand_net60-30-1shuffled.cnf,1,ok
dp10s10shuffled.cnf,1,ok
blocks-blocks-37-1150-SAT.cnf,1,ok
UR-20-10p1.cnf,1,ok
smulo064.cnf,1,ok
E02F22.cnf,1,ok
post-cbmc-zfcp-28-u2-noholes.cnf,1,timeout
slp-synthesis-aes-bottom15.cnf,1,ok
gss-19-s100.cnf,1,ok
eqatreebraun12unsat.cnf,1,ok
traffic_kkb_unknown.cnf,1,ok
9dlx_vliw_at_b_iq7.cnf,1,ok
hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf,1,ok
slp-synthesis-aes-top29.cnf,1,ok
traffic_r_sat.cnf,1,ok
sortnet-8-ipc5-h19-sat.cnf,1,ok
gss-14-s100.cnf,1,ok
blocks-blocks-36-0160-NOTKNOWN.cnf,1,ok
manol-pipe-f7nidw.cnf,1,ok
velev-vliw-uns-40-9-i1.cnf,1,ok
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1045-NOTKNOWN.cnf,1,ok
aaai10-planning-ipc5-pathways-17-step21.cnf,1,ok
9dlx_vliw_at_b_iq9used-assat04-719.cnf,1,ok
6pipe_6_oooshuffled-assat03-413.cnf,1,ok
hwmcc10-timeframe-expansion-k50-pdtvisns3p00-tseitin.cnf,1,ok
AProVE11-15.cnf,1,ok
aes_32_1_keyfind_1.cnf,1,ok
partial-10-17-s.cnf,1,ok
cube-11-h14-sat.cnf,1,ok
slp-synthesis-aes-bottom25.cnf,1,ok
UCG-15-10p0.cnf,1,ok
E05F20.cnf,1,ok
smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf,1,ok
hwmcc10-timeframe-expansion-k45-bc57sensorsp1-tseitin.cnf,1,ok
aaai10-planning-ipc5-pathways-17-step20.cnf,1,ok
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3045-NOTKNOWN.cnf,1,ok
smtlib-qfbv-aigs-bin_libmsrpc_vc1225336-tseitin.cnf,1,ok
UR-20-10p0.cnf,1,ok
slp-synthesis-aes-top22.cnf,1,ok
SAT_datk80.cnf,1,ok
maxxor128.cnf,1,ok
aes_128_10_keyfind_1.cnf,1,ok
E02F20.cnf,1,ok
driverlog1_ks99irenamed-assat05-3951.cnf,1,ok
smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,1,ok
dated-5-13-u.cnf,1,ok
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed030-NOTKNOWN.cnf,1,ok
SAT_datk45.cnf,1,ok
hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,1,ok
E05X15.cnf,1,ok
velev-npe-10-9dlx-b71.cnf,1,ok
sokoban-sequential-p145-microban-sequential050-NOTKNOWN.cnf,1,ok
sokoban-sequential-p145-microban-sequential070-NOTKNOWN.cnf,1,ok
dated-10-17-u.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,1,ok
rbcl_xits_08_UNSAT.cnf,1,ok
slp-synthesis-aes-bottom23.cnf,1,ok
total-10-17-u.cnf,1,ok
maxxor032.cnf,1,ok
SAT_datk85.cnf,1,ok
partial-5-11-u.cnf,1,ok
rand_net60-40-10shuffled.cnf,1,ok
manol-pipe-c10nidw.cnf,1,ok
UTI-20-10t1.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin.cnf,1,ok
slp-synthesis-aes-bottom26.cnf,1,ok
driverlog3_v01arenamed-assat05-3963.cnf,1,ok
velev-pipe-o-uns-10-7.cnf,1,ok
