@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE Pre.featuretime NUMERIC
@ATTRIBUTE vars.clauses.ratio NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.mean NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.coeff.variation NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.min NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.max NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.entropy NUMERIC
@ATTRIBUTE VCG.CLAUSE.mean NUMERIC
@ATTRIBUTE VCG.CLAUSE.coeff.variation NUMERIC
@ATTRIBUTE VCG.CLAUSE.min NUMERIC
@ATTRIBUTE VCG.CLAUSE.max NUMERIC
@ATTRIBUTE VCG.CLAUSE.entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY. NUMERIC
@ATTRIBUTE TRINARY. NUMERIC
@ATTRIBUTE Basic.featuretime NUMERIC
@ATTRIBUTE VCG.VAR.mean NUMERIC
@ATTRIBUTE VCG.VAR.coeff.variation NUMERIC
@ATTRIBUTE VCG.VAR.min NUMERIC
@ATTRIBUTE VCG.VAR.max NUMERIC
@ATTRIBUTE VCG.VAR.entropy NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.mean NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.stdev NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.min NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.max NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.entropy NUMERIC
@ATTRIBUTE HORNY.VAR.mean NUMERIC
@ATTRIBUTE HORNY.VAR.coeff.variation NUMERIC
@ATTRIBUTE HORNY.VAR.min NUMERIC
@ATTRIBUTE HORNY.VAR.max NUMERIC
@ATTRIBUTE HORNY.VAR.entropy NUMERIC
@ATTRIBUTE horn.clauses.fraction NUMERIC
@ATTRIBUTE VG.mean NUMERIC
@ATTRIBUTE VG.coeff.variation NUMERIC
@ATTRIBUTE VG.min NUMERIC
@ATTRIBUTE VG.max NUMERIC
@ATTRIBUTE KLB.featuretime NUMERIC
@ATTRIBUTE CG.mean NUMERIC
@ATTRIBUTE CG.coeff.variation NUMERIC
@ATTRIBUTE CG.min NUMERIC
@ATTRIBUTE CG.max NUMERIC
@ATTRIBUTE CG.entropy NUMERIC
@ATTRIBUTE cluster.coeff.mean NUMERIC
@ATTRIBUTE cluster.coeff.coeff.variation NUMERIC
@ATTRIBUTE cluster.coeff.min NUMERIC
@ATTRIBUTE cluster.coeff.max NUMERIC
@ATTRIBUTE cluster.coeff.entropy NUMERIC
@ATTRIBUTE CG.featuretime NUMERIC

@DATA
11pipe_11_ooo.cnf,1,88289,4187694,77804,4155136,0.134761709,0.007835604,13.46,0.018724778,0.807309346,0.45259807,0,1,0.854050368,3.8152e-05,2.857696447,2.5706e-05,0.004369955,0.515001551,0,0.892821318,0.971596598,0.44,3.8152e-05,4.20531447,1.685e-06,0.011349809,5.163168416,0.548925493,0.283221093,0,0.986885246,4.210310108,2.5982e-05,3.476261584,4.81e-07,0.005498737,5.052177748,0.971305632,6.2811e-05,2.848155519,1.685e-06,0.007576647,11.29,-1,0,-1,0,-512,-1,0,-1,0,0,36.73
11pipe_k.cnf,1,89315,5584003,79604,5548259,0.121991357,0.006442381,28.56,0.014347564,0.939245786,0.24261679,0,1,0.416040455,3.6075e-05,2.970654382,2.5124e-05,0.003705844,0.254164819,0,0.967923992,0.971648404,0.58,3.6075e-05,6.636063687,5.41e-07,0.007762075,5.232507728,0.569973188,0.28278978,0,1,4.226605472,2.4458e-05,6.463624009,0,0.005047529,4.954114687,0.971555401,5.3764e-05,4.06070112,5.41e-07,0.006432649,12.26,0,0,0,0,-512,0,0,0,0,0,25.82
12pipe_bug4_q0used-assat04-723.cnf,1,138563,4675040,81194,4554630,0.706566988,0.026436835,13.35,0.017826695,0.834865238,0.384951002,0,1,0.895021088,3.9552e-05,2.816153299,2.4632e-05,0.004335296,0.739960075,0,0.82920347,0.94052821,0.49,3.9552e-05,3.376869716,1.537e-06,0.004403212,5.230199389,0.513176555,0.327251295,0,0.98488665,4.038583533,2.4535e-05,2.470100921,0,0.001125668,5.06498582,0.940317216,6.163e-05,2.350641884,1.537e-06,0.003302354,12.48,-1,0,-1,0,-512,-1,0,-1,0,0,31.79
12pipe_bug6_q0used-assat04-725.cnf,1,138795,4671352,81184,4547858,0.709634903,0.027154322,13.84,0.017851041,0.834526237,0.385458918,0,1,0.895733267,3.9405e-05,2.760677039,2.4635e-05,0.00433583,0.74006886,0,0.829042376,0.940515513,0.49,3.9405e-05,3.366228522,1.539e-06,0.004298287,5.22421212,0.513976231,0.327101284,0,0.97733711,4.056130047,2.4537e-05,2.465997924,0,0.001127344,5.058996661,0.940260008,6.1649e-05,2.346889562,1.539e-06,0.003308151,12.45,-1,0,-1,0,-512,-1,0,-1,0,0,27.35
1dlx_c_iq57_a.cnf,1,569795,8562505,420833,8244707,0.353969389,0.0385457,38.09,0.051042808,0.741717475,0.551557432,0,1,1.124966384,7.893e-06,2.292424842,4.752e-06,0.000441981,0.748482474,0,0.864547279,0.909356269,0.97,7.893e-06,5.060924662,8.49e-07,0.003424743,3.557141366,0.308650252,0.277954399,0,0.967213115,3.026571577,4.489e-06,4.353903054,0,0.001697089,3.330322089,0.912589374,1.8194e-05,3.70101731,6.06e-07,0.00499472,280.11,-1,0,-1,0,-512,-1,0,-1,0,0,20.5
1dlx_c_iq60_a.cnf,1,651875,9927770,481057,9564224,0.355088898,0.038011029,44.49,0.050297546,0.745109888,0.54682481,0,1,1.113244137,6.905e-06,2.345543438,4.158e-06,0.000405357,0.738642009,0,0.866413731,0.910557302,1.13,6.905e-06,5.209999481,7.32e-07,0.003237691,3.521410984,0.307621723,0.278547046,0,0.96875,2.982710297,3.932e-06,4.488189439,0,0.001615081,3.297746104,0.91407123,1.6235e-05,3.771052123,5.23e-07,0.004936208,365.49,-1,0,-1,0,-512,-1,0,-1,0,0,21.22
2dlx_ca_bp_f_liveness.cnf,1,202253,4313014,188087,4281700,0.07531621,0.00731345,16.21,0.043928113,0.721167454,0.593044046,0,1,1.068752185,1.6381e-05,2.638375371,1.0633e-05,0.003461164,0.571718944,0,0.906908004,0.947061214,0.49,1.6381e-05,9.102694617,1.635e-06,0.006799869,4.077013515,0.500179729,0.237221541,0,0.985212569,4.023791074,1.0344e-05,7.205973631,0,0.003331154,4.047474527,0.949527758,6.7272e-05,1.827908463,1.168e-06,0.015481468,57.01,-1,0,-1,0,-512,-1,0,-1,0,0,35.9
6pipe_6_oooshuffled-assat03-413.cnf,1,17064,545612,14409,536137,0.184259838,0.017672722,2.99,0.026875593,0.487680076,0.977687158,0,1,1.146064211,0.000209371,2.269879199,0.000138802,0.012978,0.655033119,0,0.855236628,0.957589198,0.07,0.000209371,3.289006677,1.3056e-05,0.014815243,4.854782725,0.51259583,0.298763373,0,0.978723404,4.321934967,9.9347e-05,2.876741859,1.865e-06,0.007401093,4.560499181,0.685768749,0.000309992,2.221671633,1.3056e-05,0.01119863,0.58,-1,0,-1,0,-512,-1,0,-1,0,0,20.57
9dlx_vliw_at_b_iq6used-assat04-347.cnf,1,209724,3634677,168000,3532144,0.248357143,0.029028545,19.89,0.04756318,0.769075908,0.522863013,0,1,1.002846222,1.8416e-05,2.153408183,1.1905e-05,0.000970238,0.58972643,0,0.908663973,0.936868089,0.4,1.8416e-05,6.453508086,1.416e-06,0.015006466,4.471646536,0.344313721,0.263382489,0,1,4.262914256,1.1204e-05,5.976577949,2.83e-07,0.007991464,4.164984364,0.930078728,3.4056e-05,4.347821111,1.416e-06,0.014898317,45.25,0,0,0,0,-512,0,0,0,0,0,72.95
9dlx_vliw_at_b_iq7.cnf,1,306095,6069108,263670,5951176,0.160901885,0.019816588,35.76,0.044305529,0.770208329,0.525407023,0,1,0.962820016,1.1828e-05,2.258706466,7.585e-06,0.000618197,0.53108803,0,0.922471122,0.944165153,0.69,1.1828e-05,7.92826836,1.176e-06,0.009556431,4.448548069,0.349701367,0.248161603,0,0.996853225,4.22438842,7.176e-06,7.535957462,0,0.005719038,4.184092099,0.938064174,2.346e-05,4.84189901,8.4e-07,0.010473224,110.78,-1,0,-1,0,-512,-1,0,-1,0,0,100.29
