@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute nvarsOrig numeric
@attribute nclausesOrig numeric
@attribute nvars numeric
@attribute nclauses numeric
@attribute reducedVars numeric
@attribute reducedClauses numeric
@attribute Pre.featuretime numeric
@attribute vars.clauses.ratio numeric
@attribute POSNEG.RATIO.CLAUSE.mean numeric
@attribute POSNEG.RATIO.CLAUSE.coeff.variation numeric
@attribute POSNEG.RATIO.CLAUSE.min numeric
@attribute POSNEG.RATIO.CLAUSE.max numeric
@attribute POSNEG.RATIO.CLAUSE.entropy numeric
@attribute VCG.CLAUSE.mean numeric
@attribute VCG.CLAUSE.coeff.variation numeric
@attribute VCG.CLAUSE.min numeric
@attribute VCG.CLAUSE.max numeric
@attribute VCG.CLAUSE.entropy numeric
@attribute UNARY numeric
@attribute BINARY. numeric
@attribute TRINARY. numeric
@attribute Basic.featuretime numeric
@attribute VCG.VAR.mean numeric
@attribute VCG.VAR.coeff.variation numeric
@attribute VCG.VAR.min numeric
@attribute VCG.VAR.max numeric
@attribute VCG.VAR.entropy numeric
@attribute POSNEG.RATIO.VAR.mean numeric
@attribute POSNEG.RATIO.VAR.stdev numeric
@attribute POSNEG.RATIO.VAR.min numeric
@attribute POSNEG.RATIO.VAR.max numeric
@attribute POSNEG.RATIO.VAR.entropy numeric
@attribute HORNY.VAR.mean numeric
@attribute HORNY.VAR.coeff.variation numeric
@attribute HORNY.VAR.min numeric
@attribute HORNY.VAR.max numeric
@attribute HORNY.VAR.entropy numeric

@attribute horn.clauses.fraction numeric
@attribute VG.mean numeric
@attribute VG.coeff.variation numeric
@attribute VG.min numeric
@attribute VG.max numeric
@attribute KLB.featuretime numeric
@attribute CG.mean numeric
@attribute CG.coeff.variation numeric
@attribute CG.min numeric
@attribute CG.max numeric
@attribute CG.entropy numeric
@attribute cluster.coeff.mean numeric
@attribute cluster.coeff.coeff.variation numeric
@attribute cluster.coeff.min numeric
@attribute cluster.coeff.max numeric
@attribute cluster.coeff.entropy numeric
@attribute CG.featuretime numeric

@data
10tree1020p.wcnf,1,6750,25949,0,0,-512,-512,0.36,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10tree115p.wcnf,1,6666,25669,0,0,-512,-512,0.35,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10tree125p.wcnf,1,6726,25869,0,0,-512,-512,0.36,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10tree315p.wcnf,1,6666,25669,0,0,-512,-512,0.35,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10tree320p.wcnf,1,4568,16598,0,0,-512,-512,0.19,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10tree425p.wcnf,1,6780,26049,0,0,-512,-512,0.36,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10tree430p.wcnf,1,4660,16874,0,0,-512,-512,0.19,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10tree730p.wcnf,1,6816,26169,0,0,-512,-512,0.38,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10tree825p.wcnf,1,4632,16790,0,0,-512,-512,0.2,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15tree101p.wcnf,1,22315,84861,0,0,-512,-512,3.73,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15tree201p.wcnf,1,22660,85965,0,0,-512,-512,3.78,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15tree301posib.wcnf,1,38764,152666,0,0,-512,-512,9.97,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15tree401posib.wcnf,1,38247,151771,0,0,-512,-512,9.77,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15tree501p.wcnf,1,38304,155931,0,0,-512,-512,9.9,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15tree701p.wcnf,1,38403,156283,0,0,-512,-512,9.98,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1knt_2knt_gwcnft.wcnf,1,1806,1389449,0,0,-512,-512,567.31,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,30896,112813,0,0,-512,-512,4.27,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3col140_5_1shuffledcnf.wcnf,1,280,1476,0,0,-512,-512,0,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3col140_5_10shuffledcnf.wcnf,1,280,1476,0,0,-512,-512,0,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3col140_5_2shuffledcnf.wcnf,1,280,1476,0,0,-512,-512,0,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3col140_5_3shuffledcnf.wcnf,1,280,1476,280,1190,0,0.240336134,0,0.235294118,0.401456583,0.643460168,0,1,1.182407004,0.016938776,0.142203806,0.007142857,0.017857143,0.439019111,0,0.005042017,0.121848739,0,0.016938776,3.474598413,0.008403361,1,0.303780076,0.251645658,0.049892132,0,1,0.342174921,0.001380552,3.913188403,0,0.090756303,1.251250823,0.090756303,0.010852341,1.233619867,0.009243697,0.234453782,0,0.016230492,0.097758966,0.005042017,0.019327731,0.741424528,0.462775683,0.227279622,0.380434783,0.752380952,0.844868827,0.02
3col140_5_4shuffledcnf.wcnf,1,280,1476,280,1190,0,0.240336134,0,0.235294118,0.391148459,0.653788053,0,1,1.170346841,0.016938776,0.142203806,0.007142857,0.017857143,0.439019111,0,0.005042017,0.121848739,0,0.016938776,3.474598413,0.008403361,1,0.303780076,0.251645658,0.049892132,0,1,0.342174921,0.001254502,4.14437763,0,0.087394958,1.061790224,0.087394958,0.010852341,1.233619867,0.009243697,0.234453782,0,0.016230492,0.097712869,0.005042017,0.019327731,0.726885371,0.462740696,0.227304286,0.380434783,0.752380952,0.808741408,0.02
3col140_5_5shuffledcnf.wcnf,1,280,1476,0,0,-512,-512,0,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3col140_5_6shuffledcnf.wcnf,1,280,1476,280,1190,0,0.240336134,0,0.235294118,0.381736695,0.649613074,0,1,1.138965405,0.016938776,0.142203806,0.007142857,0.017857143,0.439019111,0,0.005042017,0.121848739,0,0.016938776,3.474598413,0.008403361,1,0.303780076,0.251645658,0.049892132,0,1,0.342174921,0.001296519,3.897653263,0,0.08487395,1.211137113,0.08487395,0.010852341,1.233619867,0.009243697,0.234453782,0,0.016230492,0.097758966,0.005042017,0.019327731,0.741424528,0.462772314,0.227277632,0.380434783,0.752380952,0.844578093,0.02
