@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
agricola_p01.pddl,1,blind,1800,timeout
agricola_p01.pddl,1,Complementary1,115.3,ok
agricola_p01.pddl,1,Complementary2,56.85,ok
agricola_p01.pddl,1,DecStar,1800,timeout
agricola_p01.pddl,1,Delfi1,19.94,ok
agricola_p01.pddl,1,Delfi2,474.42,ok
agricola_p01.pddl,1,FDMS1,97.85,ok
agricola_p01.pddl,1,FDMS2,113.77,ok
agricola_p01.pddl,1,Metis1,1800,timeout
agricola_p01.pddl,1,Metis2,1800,timeout
agricola_p01.pddl,1,Planning-PDBs,52.18,ok
agricola_p01.pddl,1,Scorpion,1800,timeout
agricola_p01.pddl,1,symbolic-bidirectional,19.16,ok
agricola_p01.pddl,1,Symple-1,1691.11,ok
agricola_p01.pddl,1,Symple-2,1660.73,ok
agricola_p02.pddl,1,blind,1800,timeout
agricola_p02.pddl,1,Complementary1,147.09,ok
agricola_p02.pddl,1,Complementary2,236.29,ok
agricola_p02.pddl,1,DecStar,1800,timeout
agricola_p02.pddl,1,Delfi1,34.08,ok
agricola_p02.pddl,1,Delfi2,65.9,ok
agricola_p02.pddl,1,FDMS1,91.81,ok
agricola_p02.pddl,1,FDMS2,313.06,ok
agricola_p02.pddl,1,Metis1,1800,timeout
agricola_p02.pddl,1,Metis2,1800,timeout
agricola_p02.pddl,1,Planning-PDBs,208.61,ok
agricola_p02.pddl,1,Scorpion,1800,timeout
agricola_p02.pddl,1,symbolic-bidirectional,76.52,ok
agricola_p02.pddl,1,Symple-1,1800,timeout
agricola_p02.pddl,1,Symple-2,1800,timeout
agricola_p03.pddl,1,blind,1800,timeout
agricola_p03.pddl,1,Complementary1,1120.68,ok
agricola_p03.pddl,1,Complementary2,1800,timeout
agricola_p03.pddl,1,DecStar,1800,timeout
agricola_p03.pddl,1,Delfi1,80.52,ok
agricola_p03.pddl,1,Delfi2,131.76,ok
agricola_p03.pddl,1,FDMS1,128.4,ok
agricola_p03.pddl,1,FDMS2,415.52,ok
agricola_p03.pddl,1,Metis1,1800,timeout
agricola_p03.pddl,1,Metis2,1800,timeout
agricola_p03.pddl,1,Planning-PDBs,1800,timeout
agricola_p03.pddl,1,Scorpion,1536.73,ok
agricola_p03.pddl,1,symbolic-bidirectional,90.5,ok
agricola_p03.pddl,1,Symple-1,1800,timeout
agricola_p03.pddl,1,Symple-2,1800,timeout
agricola_p04.pddl,1,blind,1800,timeout
agricola_p04.pddl,1,Complementary1,221.38,ok
agricola_p04.pddl,1,Complementary2,141.9,ok
agricola_p04.pddl,1,DecStar,1800,timeout
agricola_p04.pddl,1,Delfi1,29.92,ok
agricola_p04.pddl,1,Delfi2,52.26,ok
agricola_p04.pddl,1,FDMS1,355.23,ok
agricola_p04.pddl,1,FDMS2,166.54,ok
agricola_p04.pddl,1,Metis1,1800,timeout
agricola_p04.pddl,1,Metis2,1800,timeout
agricola_p04.pddl,1,Planning-PDBs,133.12,ok
agricola_p04.pddl,1,Scorpion,1800,timeout
agricola_p04.pddl,1,symbolic-bidirectional,47.11,ok
agricola_p04.pddl,1,Symple-1,1800,timeout
agricola_p04.pddl,1,Symple-2,1800,timeout
agricola_p05.pddl,1,blind,1800,timeout
agricola_p05.pddl,1,Complementary1,798.92,ok
agricola_p05.pddl,1,Complementary2,986.99,ok
agricola_p05.pddl,1,DecStar,1800,timeout
agricola_p05.pddl,1,Delfi1,89.03,ok
agricola_p05.pddl,1,Delfi2,131.09,ok
agricola_p05.pddl,1,FDMS1,203.17,ok
agricola_p05.pddl,1,FDMS2,412.63,ok
agricola_p05.pddl,1,Metis1,1800,timeout
agricola_p05.pddl,1,Metis2,1800,timeout
agricola_p05.pddl,1,Planning-PDBs,1800,timeout
agricola_p05.pddl,1,Scorpion,1800,timeout
agricola_p05.pddl,1,symbolic-bidirectional,46.75,ok
agricola_p05.pddl,1,Symple-1,1800,timeout
agricola_p05.pddl,1,Symple-2,1800,timeout
agricola_p06.pddl,1,blind,1800,timeout
agricola_p06.pddl,1,Complementary1,1239.21,ok
agricola_p06.pddl,1,Complementary2,1800,timeout
agricola_p06.pddl,1,DecStar,1800,timeout
agricola_p06.pddl,1,Delfi1,103.32,ok
agricola_p06.pddl,1,Delfi2,169.24,ok
agricola_p06.pddl,1,FDMS1,412.5,ok
agricola_p06.pddl,1,FDMS2,668.86,ok
agricola_p06.pddl,1,Metis1,1800,timeout
agricola_p06.pddl,1,Metis2,1800,timeout
agricola_p06.pddl,1,Planning-PDBs,1800,timeout
agricola_p06.pddl,1,Scorpion,1800,timeout
agricola_p06.pddl,1,symbolic-bidirectional,277.48,ok
agricola_p06.pddl,1,Symple-1,1800,timeout
agricola_p06.pddl,1,Symple-2,1800,timeout
agricola_p07.pddl,1,blind,1800,timeout
agricola_p07.pddl,1,Complementary1,273.42,ok
agricola_p07.pddl,1,Complementary2,919.81,ok
agricola_p07.pddl,1,DecStar,1800,timeout
agricola_p07.pddl,1,Delfi1,72.26,ok
agricola_p07.pddl,1,Delfi2,104.67,ok
agricola_p07.pddl,1,FDMS1,785.85,ok
