InstanceName,blind,Complementary1,Complementary2,DecStar,Delfi1,Delfi2,FDMS1,FDMS2,Metis1,Metis2,Planning-PDBs,Scorpion,symbolic-bidirectional,Symple-1,Symple-2
agricola_p01.pddl,1800,123.2,58.92,1800,19.19,473.67,101.32,117.98,1800,1800,82.46,1800,19.2,1713.2,1800
agricola_p02.pddl,1800,159.07,238.31,1800,35.46,65.95,93.73,330.31,1800,1800,953.74,1800,77.32,1800,1800
agricola_p03.pddl,1800,1121.06,1800,1800,78.23,133.26,132.95,434.63,1800,1800,1800,1481.28,87.31,1800,1800
agricola_p04.pddl,1800,233.27,143.19,1800,30.65,52.06,357.4,175.51,1800,1800,195.11,1800,46.87,1800,1800
agricola_p05.pddl,1800,913.23,1038.35,1800,89.68,132.17,208.18,437.45,1800,1800,1800,1800,46.91,1800,1800
agricola_p06.pddl,1800,1259.76,1800,1800,106.85,171.49,411.96,713.82,1800,1800,1800,1800,285.5,1800,1800
agricola_p07.pddl,1800,279.66,920.84,1800,81.52,101.24,788.1,269.28,1800,1800,1800,1800,73.12,1800,1800
agricola_p08.pddl,1800,1393.27,1800,1800,459.92,512.72,1800,406.56,1800,1800,1800,1800,394.44,1800,1800
agricola_p09.pddl,1800,1351.96,1800,1800,879.48,948.36,798.17,1006.47,1800,1800,1800,1800,261.78,1800,1800
agricola_p10.pddl,1800,1800,1800,1800,190.27,223.9,1800,1800,1800,1800,1800,1800,162.95,1800,1800
agricola_p11.pddl,1800,1800,1800,1800,335.62,394.79,1800,741.84,1800,1800,1800,1800,329.87,1800,1800
agricola_p12.pddl,1800,1241.98,1800,1800,929.12,1035.51,1800,1800,1800,1800,1800,1800,362.04,1800,1800
agricola_p13.pddl,1800,1800,1800,1800,999.4,1056.61,1800,693.12,1800,1800,1800,1800,821.67,1800,1800
agricola_p14.pddl,1800,1800,1800,1800,1800,1800,1800,934.16,1800,1800,1800,1800,773.73,1800,1800
agricola_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p16.pddl,1800,1800,1800,1800,1707.28,1050.75,1800,692.89,1800,1800,1800,1800,1800,1800,1800
agricola_p17.pddl,1800,1800,1800,1800,1302.68,1340.06,1800,1703.8,1800,1800,1800,1800,1800,1800,1800
agricola_p18.pddl,1800,1800,1800,1800,1330.51,1484.94,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p19.pddl,1800,1800,1800,1800,1668.63,1587.14,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p20.pddl,1800,1800,1800,1800,1800,1613.98,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p01.pddl,0.26,1.32,1.58,0.55,1.49,1.62,0.42,0.67,0.29,0.27,1.57,200.08,0.81,1.64,1.89
