InstanceName,blind,Complementary1,Complementary2,DecStar,Delfi1,Delfi2,FDMS1,FDMS2,Metis1,Metis2,Planning-PDBs,Scorpion,symbolic-bidirectional,Symple-1,Symple-2
agricola_p01.pddl,1800,128.15,59.57,1800,19.82,474.45,102.62,112.34,1800,1800,53.6,1800,18.86,1732.14,1800
agricola_p02.pddl,1800,166.26,244.82,1800,33.71,64.25,94.76,303.91,1800,1800,225.13,1800,78.38,1800,1800
agricola_p03.pddl,1800,1106.63,1800,1800,78.41,130.76,137.08,406.53,1800,1800,1800,1455.17,89.98,1800,1800
agricola_p04.pddl,1800,236.77,143.71,1800,29.62,51.92,363.79,163.21,1800,1800,134.58,1800,47.16,1800,1800
agricola_p05.pddl,1800,1800,1025.76,1800,88.68,130.21,211.5,398.78,1800,1800,1800,1800,49.8,1800,1800
agricola_p06.pddl,1800,1800,1800,1800,104.45,170.45,414.39,662.98,1800,1800,1800,1800,289.59,1800,1800
agricola_p07.pddl,1800,925.02,921.38,1800,73.97,108.08,1800,266.38,1800,1800,1800,1800,73.31,1800,1800
agricola_p08.pddl,1800,1800,1800,1800,499.54,544.68,1800,414.95,1800,1800,1800,1800,406.45,1800,1800
agricola_p09.pddl,1800,1800,1800,1800,864.22,965.67,820.07,1012.05,1800,1800,1800,1800,262.53,1800,1800
agricola_p10.pddl,1800,1800,1800,1800,188.49,225.61,1800,1800,1800,1800,1800,1800,160.94,1800,1800
agricola_p11.pddl,1800,1800,1800,1800,339.49,393,1800,768.28,1800,1800,1800,1800,326.72,1800,1800
agricola_p12.pddl,1800,1800,1800,1800,956.23,1047.04,1800,1800,1800,1800,1800,1800,364.92,1800,1800
agricola_p13.pddl,1800,1800,1800,1800,1048.57,1086.06,1800,695.98,1800,1800,1800,1800,841,1800,1800
agricola_p14.pddl,1800,1800,1800,1800,1800,1800,1800,958.52,1800,1800,1800,1800,791.43,1800,1800
agricola_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p16.pddl,1800,1800,1800,1800,1108.49,1204.21,1800,699.21,1800,1800,1800,1800,1800,1800,1800
agricola_p17.pddl,1800,1800,1800,1800,1173.4,1343.02,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p18.pddl,1800,1800,1800,1800,1293.97,1467.66,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p19.pddl,1800,1800,1800,1800,1777.11,1416.47,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p20.pddl,1800,1800,1800,1800,1800,1704.51,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p01.pddl,0.26,1.33,1.6,0.55,1.42,1.62,0.42,0.67,0.28,0.28,1.55,200.12,0.8,1.7,1.92
caldera_p02.pddl,0.28,1.95,1.85,27.84,1.48,2.76,1.19,2.08,0.34,0.32,1.83,200.48,1.14,4.8,4.47
caldera_p03.pddl,0.3,1.86,1.83,29.93,1.45,3.82,1.33,2.46,0.3,0.31,1.86,200.39,1.13,3.61,3.52
caldera_p04.pddl,0.28,2.06,1.8,22.33,1.49,2.84,1.26,2.11,0.32,0.33,1.77,200.32,1.09,4.24,4.05
caldera_p05.pddl,1.38,82.99,85.3,193.13,2.58,59.19,43.75,99.97,1.44,1.5,81.36,203.78,8.28,1453.98,1425.69
caldera_p06.pddl,2.08,10.84,22.45,374.92,3.56,204.73,121.08,347.21,2.46,2.53,22.48,211.34,9.12,218.31,218.41
caldera_p07.pddl,1.09,94.73,158.69,261.72,2.28,53.18,41.14,134.87,1.12,1.17,154.95,204.84,6.83,701.73,699.31
caldera_p08.pddl,0.72,13.87,7.83,74.01,1.92,2.46,12.64,20.29,0.74,0.78,7.9,202.71,3.47,156.27,157.22
caldera_p09.pddl,1800,1143.96,1002.77,1800,47.98,54.02,1102.94,1312.07,48.16,37.36,972.09,591.84,1800,1800,1800
caldera_p10.pddl,1800,958.79,929.8,1800,10.16,1628.36,337.97,484.01,9.23,6.71,924.16,489.55,334.75,1800,1800
caldera_p11.pddl,1800,1156.59,992.96,1800,48.72,1800,896.67,1111.14,48.64,36.89,981.02,739.35,1800,1800,1800
caldera_p12.pddl,1800,1800,961.29,1800,18.74,1800,660.17,911.91,18.02,15.35,946.91,469.6,1800,1800,1800
caldera_p13.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p14.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p16.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p17.pddl,1800,1800,1800,1800,1800,687.02,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p18.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
